nom,masse_kg_m,h_m,b_m,tw_m,tf_m,aire_m2,Iyy_m4,Wel_y_m3,Wpl_y_m3,iy_m,Izz_m4,Wel_z_m3,Wpl_z_m3,iz_m,J_m4,r_m,profil_gsa
CHS21x2.3,1.08,0.0213,,0.0023,,0.000137,6.2899999999999996e-09,5.900000000000001e-07,8.340000000000001e-07,0.00677,6.2899999999999996e-09,5.900000000000001e-07,8.340000000000001e-07,0.00677,1.26e-08,,CAT EN-CHS CHS21x2.3 20100728
CHS21x2.6,1.2,0.0213,,0.0026000000000000003,,0.000153,6.81e-09,6.39e-07,9.15e-07,0.006680000000000001,6.81e-09,6.39e-07,9.15e-07,0.006680000000000001,1.36e-08,,CAT EN-CHS CHS21x2.6 20100728
CHS21x2.9,1.32,0.0213,,0.0029,,0.000168,7.27e-09,6.830000000000001e-07,9.9e-07,0.006590000000000001,7.27e-09,6.830000000000001e-07,9.9e-07,0.006590000000000001,1.4499999999999999e-08,,CAT EN-CHS CHS21x2.9 20110705
CHS21x3.2,1.43,0.0213,,0.0032,,0.00018199999999999998,7.68e-09,7.22e-07,1.06e-06,0.006500000000000001,7.68e-09,7.22e-07,1.06e-06,0.006500000000000001,1.54e-08,,CAT EN-CHS CHS21x3.2 20100728
CHS27x2.3,1.4,0.0269,,0.0023,,0.000178,1.36e-08,1.01e-06,1.4000000000000001e-06,0.008740000000000001,1.36e-08,1.01e-06,1.4000000000000001e-06,0.008740000000000001,2.7099999999999998e-08,,CAT EN-CHS CHS27x2.3 20100728
CHS27x2.6,1.56,0.0269,,0.0026000000000000003,,0.000198,1.48e-08,1.1e-06,1.54e-06,0.00864,1.48e-08,1.1e-06,1.54e-06,0.00864,2.96e-08,,CAT EN-CHS CHS27x2.6 20100728
CHS27x2.9,1.72,0.0269,,0.0029,,0.00021899999999999998,1.6e-08,1.19e-06,1.68e-06,0.00855,1.6e-08,1.19e-06,1.68e-06,0.00855,3.19e-08,,CAT EN-CHS CHS27x2.9 20110705
CHS27x3.2,1.87,0.0269,,0.0032,,0.00023799999999999998,1.7e-08,1.2700000000000001e-06,1.81e-06,0.00846,1.7e-08,1.2700000000000001e-06,1.81e-06,0.00846,3.41e-08,,CAT EN-CHS CHS27x3.2 20100728
CHS27x3.6,2.07,0.0269,,0.0036000000000000003,,0.00026399999999999997,1.83e-08,1.3600000000000001e-06,1.97e-06,0.00834,1.83e-08,1.3600000000000001e-06,1.97e-06,0.00834,3.66e-08,,CAT EN-CHS CHS27x3.6 20110705
CHS34x2.6,1.99,0.0337,,0.0026000000000000003,,0.000254,3.09e-08,1.8400000000000002e-06,2.52e-06,0.011,3.09e-08,1.8400000000000002e-06,2.52e-06,0.011,6.19e-08,,CAT EN-CHS CHS34x2.6 20100728
