nom,masse_kg_m,h_m,b_m,tw_m,tf_m,r_m,aire_m2,Iyy_m4,Izz_m4,iy_m,iz_m,Wel_y_m3,Wel_z_m3,Wpl_y_m3,Wpl_z_m3,J_m4,Iw_m6,obsolete,date,profil_gsa
CHS21x2.3,1.08,0.0213,,0.0023,,,0.000137,6.29e-09,6.29e-09,0.00677,0.00677,5.9e-07,5.9e-07,8.34e-07,8.34e-07,1.26e-08,,False,20100728,CAT EN-CHS CHS21x2.3 20100728
CHS21x2.6,1.2,0.0213,,0.0026,,,0.000153,6.81e-09,6.81e-09,0.00668,0.00668,6.39e-07,6.39e-07,9.15e-07,9.15e-07,1.36e-08,,False,20100728,CAT EN-CHS CHS21x2.6 20100728
CHS21x2.9,1.32,0.0213,,0.0029,,,0.000168,7.27e-09,7.27e-09,0.00659,0.00659,6.83e-07,6.83e-07,9.9e-07,9.9e-07,1.45e-08,,,20110705,CAT EN-CHS CHS21x2.9 20110705
CHS27x2.3,1.4,0.0269,,0.0023,,,0.000178,1.36e-08,1.36e-08,0.00874,0.00874,1.01e-06,1.01e-06,1.4e-06,1.4e-06,2.71e-08,,False,20100728,CAT EN-CHS CHS27x2.3 20100728
CHS21x3.2,1.43,0.0213,,0.0032,,,0.000182,7.68e-09,7.68e-09,0.0065,0.0065,7.22e-07,7.22e-07,1.06e-06,1.06e-06,1.54e-08,,False,20100728,CAT EN-CHS CHS21x3.2 20100728
CHS27x2.6,1.56,0.0269,,0.0026,,,0.000198,1.48e-08,1.48e-08,0.00864,0.00864,1.1e-06,1.1e-06,1.54e-06,1.54e-06,2.96e-08,,False,20100728,CAT EN-CHS CHS27x2.6 20100728
CHS27x2.9,1.72,0.0269,,0.0029,,,0.000219,1.6e-08,1.6e-08,0.00855,0.00855,1.19e-06,1.19e-06,1.68e-06,1.68e-06,3.19e-08,,,20110705,CAT EN-CHS CHS27x2.9 20110705
CHS27x3.2,1.87,0.0269,,0.0032,,,0.000238,1.7e-08,1.7e-08,0.00846,0.00846,1.27e-06,1.27e-06,1.81e-06,1.81e-06,3.41e-08,,False,20100728,CAT EN-CHS CHS27x3.2 20100728
CHS34x2.6,1.99,0.0337,,0.0026,,,0.000254,3.09e-08,3.09e-08,0.011,0.011,1.84e-06,1.84e-06,2.52e-06,2.52e-06,6.19e-08,,False,20100728,CAT EN-CHS CHS34x2.6 20100728
CHS27x3.6,2.07,0.0269,,0.0036,,,0.000264,1.83e-08,1.83e-08,0.00834,0.00834,1.36e-06,1.36e-06,1.97e-06,1.97e-06,3.66e-08,,,20110705,CAT EN-CHS CHS27x3.6 20110705
CHS34x2.9,2.2,0.0337,,0.0029,,,0.000281,3.36e-08,3.36e-08,0.0109,0.0109,1.99e-06,1.99e-06,2.76e-06,2.76e-06,6.71e-08,,,20110705,CAT EN-CHS CHS34x2.9 20110705
CHS34x3.2,2.41,0.0337,,0.0032,,,0.000307,3.6e-08,3.6e-08,0.0108,0.0108,2.14e-06,2.14e-06,2.99e-06,2.99e-06,7.21e-08,,False,20100728,CAT EN-CHS CHS34x3.2 20100728
CHS42x2.6,2.55,0.0424,,0.0026,,,0.000325,6.46e-08,6.46e-08,0.0141,0.0141,3.05e-06,3.05e-06,4.12e-06,4.12e-06,1.29e-07,,False,20100728,CAT EN-CHS CHS42x2.6 20100728
CHS34x3.6,2.67,0.0337,,0.0036,,,0.00034,3.91e-08,3.91e-08,0.0107,0.0107,2.32e-06,2.32e-06,3.28e-06,3.28e-06,7.82e-08,,,20110705,CAT EN-CHS CHS34x3.6 20110705
CHS42x2.9,2.82,0.0424,,0.0029,,,0.00036,7.06e-08,7.06e-08,0.014,0.014,3.33e-06,3.33e-06,4.53e-06,4.53e-06,1.41e-07,,,20110705,CAT EN-CHS CHS42x2.9 20110705
CHS34x4.0,2.93,0.0337,,0.004,,,0.000373,4.19e-08,4.19e-08,0.0106,0.0106,2.49e-06,2.49e-06,3.55e-06,3.55e-06,8.38e-08,,False,20100728,CAT EN-CHS CHS34x4.0 20100728
CHS48x2.6,2.93,0.0483,,0.0026,,,0.000373,9.8e-08,9.8e-08,0.0162,0.0162,4.05e-06,4.05e-06,5.44e-06,5.44e-06,1.96e-07,,False,20100728,CAT EN-CHS CHS48x2.6 20100728
CHS42x3.2,3.09,0.0424,,0.0032,,,0.000394,7.62e-08,7.62e-08,0.0139,0.0139,3.59e-06,3.59e-06,4.93e-06,4.93e-06,1.52e-07,,False,20100728,CAT EN-CHS CHS42x3.2 20100728
CHS34x4.5,3.24,0.0337,,0.0045,,,0.000413,4.5e-08,4.5e-08,0.0104,0.0104,2.67e-06,2.67e-06,3.87e-06,3.87e-06,9.01e-08,,,20110705,CAT EN-CHS CHS34x4.5 20110705
CHS48x2.9,3.25,0.0483,,0.0029,,,0.000414,1.07e-07,1.07e-07,0.0161,0.0161,4.43e-06,4.43e-06,5.99e-06,5.99e-06,2.14e-07,,,20110705,CAT EN-CHS CHS48x2.9 20110705
CHS42x3.6,3.44,0.0424,,0.0036,,,0.000439,8.33e-08,8.33e-08,0.0138,0.0138,3.93e-06,3.93e-06,5.44e-06,5.44e-06,1.67e-07,,,20110705,CAT EN-CHS CHS42x3.6 20110705
CHS34x5.0,3.54,0.0337,,0.005,,,0.000451,4.78e-08,4.78e-08,0.0103,0.0103,2.84e-06,2.84e-06,4.16e-06,4.16e-06,9.57e-08,,,20110705,CAT EN-CHS CHS34x5.0 20110705
CHS48x3.2,3.56,0.0483,,0.0032,,,0.000453,1.16e-07,1.16e-07,0.016,0.016,4.8e-06,4.8e-06,6.52e-06,6.52e-06,2.32e-07,,False,20100728,CAT EN-CHS CHS48x3.2 20100728
CHS60x2.6,3.7,0.0603,,0.0026,,,0.000471,1.97e-07,1.97e-07,0.0204,0.0204,6.52e-06,6.52e-06,8.66e-06,8.66e-06,3.93e-07,,False,20100728,CAT EN-CHS CHS60x2.6 20100728
CHS42x4.0,3.79,0.0424,,0.004,,,0.000483,8.99e-08,8.99e-08,0.0136,0.0136,4.24e-06,4.24e-06,5.92e-06,5.92e-06,1.8e-07,,False,20100728,CAT EN-CHS CHS42x4.0 20100728
CHS48x3.6,3.97,0.0483,,0.0036,,,0.000506,1.27e-07,1.27e-07,0.0159,0.0159,5.26e-06,5.26e-06,7.21e-06,7.21e-06,2.54e-07,,,20110705,CAT EN-CHS CHS48x3.6 20110705
CHS60x2.9,4.11,0.0603,,0.0029,,,0.000523,2.16e-07,2.16e-07,0.0203,0.0203,7.16e-06,7.16e-06,9.56e-06,9.56e-06,4.32e-07,,,20110705,CAT EN-CHS CHS60x2.9 20110705
CHS42x4.5,4.21,0.0424,,0.0045,,,0.000536,9.76e-08,9.76e-08,0.0135,0.0135,4.6e-06,4.6e-06,6.49e-06,6.49e-06,1.95e-07,,,20110705,CAT EN-CHS CHS42x4.5 20110705
CHS48x4.0,4.37,0.0483,,0.004,,,0.000557,1.38e-07,1.38e-07,0.0157,0.0157,5.7e-06,5.7e-06,7.87e-06,7.87e-06,2.75e-07,,False,20100728,CAT EN-CHS CHS48x4.0 20100728
CHS60x3.2,4.51,0.0603,,0.0032,,,0.000574,2.35e-07,2.35e-07,0.0202,0.0202,7.78e-06,7.78e-06,1.04e-05,1.04e-05,4.69e-07,,False,20100728,CAT EN-CHS CHS60x3.2 20100728
CHS42x5.0,4.61,0.0424,,0.005,,,0.000587,1.05e-07,1.05e-07,0.0133,0.0133,4.93e-06,4.93e-06,7.04e-06,7.04e-06,2.09e-07,,,20110705,CAT EN-CHS CHS42x5.0 20110705
CHS76x2.6,4.71,0.0761,,0.0026,,,0.0006,4.06e-07,4.06e-07,0.026,0.026,1.07e-05,1.07e-05,1.41e-05,1.41e-05,8.12e-07,,False,20100728,CAT EN-CHS CHS76x2.6 20100728
