nom,masse_kg_m,h_m,b_m,tw_m,tf_m,r_m,aire_m2,Iyy_m4,Izz_m4,iy_m,iz_m,Wel_y_m3,Wel_z_m3,Wpl_y_m3,Wpl_z_m3,J_m4,Iw_m6,obsolete,date,profil_gsa
RHS50x30x2.6,3.0,0.05,0.03,0.0026,,,0.000382,1.22e-07,5.38e-08,0.0179,0.0119,4.87e-06,3.58e-06,6.12e-06,4.25e-06,1.21e-07,,False,20100728,CAT EN-RHS RHS50x30x2.6 20100728
RHS50x30x3,3.41,0.05,0.03,0.003,,,0.000434,1.36e-07,5.94e-08,0.0177,0.0117,5.43e-06,3.96e-06,6.88e-06,4.76e-06,1.35e-07,,,20110705,CAT EN-RHS RHS50x30x3 20110705
RHS50x30x3.2,3.61,0.05,0.03,0.0032,,,0.00046,1.42e-07,6.2e-08,0.0176,0.0116,5.68e-06,4.13e-06,7.25e-06,5e-06,1.42e-07,,False,20100728,CAT EN-RHS RHS50x30x3.2 20100728
RHS60x40x2.6,3.81,0.06,0.04,0.0026,,,0.000486,2.36e-07,1.24e-07,0.022,0.016,7.86e-06,6.22e-06,9.65e-06,7.26e-06,2.59e-07,,False,20100728,CAT EN-RHS RHS60x40x2.6 20100728
RHS50x30x3.6,4.01,0.05,0.03,0.0036,,,0.00051,1.54e-07,6.67e-08,0.0174,0.0114,6.16e-06,4.45e-06,7.94e-06,5.46e-06,1.54e-07,,,20110705,CAT EN-RHS RHS50x30x3.6 20110705
RHS60x40x3,4.35,0.06,0.04,0.003,,,0.000554,2.65e-07,1.39e-07,0.0218,0.0158,8.82e-06,6.95e-06,1.09e-05,8.19e-06,2.92e-07,,,20110705,CAT EN-RHS RHS60x40x3 20110705
RHS50x30x4,4.39,0.05,0.03,0.004,,,0.000559,1.65e-07,7.08e-08,0.0172,0.0113,6.6e-06,4.72e-06,8.59e-06,5.88e-06,1.66e-07,,,20110705,CAT EN-RHS RHS50x30x4 20110705
RHS60x40x3.2,4.62,0.06,0.04,0.0032,,,0.000588,2.78e-07,1.46e-07,0.0218,0.0157,9.27e-06,7.29e-06,1.15e-05,8.64e-06,3.08e-07,,False,20100728,CAT EN-RHS RHS60x40x3.2 20100728
RHS60x40x3.6,5.14,0.06,0.04,0.0036,,,0.000654,3.04e-07,1.59e-07,0.0216,0.0156,1.01e-05,7.93e-06,1.27e-05,9.5e-06,3.38e-07,,,20110705,CAT EN-RHS RHS60x40x3.6 20110705
RHS50x30x5,5.28,0.05,0.03,0.005,,,0.000673,1.87e-07,7.89e-08,0.0167,0.0108,7.49e-06,5.26e-06,1e-05,6.8e-06,1.9e-07,,,20110705,CAT EN-RHS RHS50x30x5 20110705
RHS50x30x5.0,5.28,0.05,0.03,0.005,,,0.000673,1.87e-07,7.89e-08,0.0167,0.0108,7.49e-06,5.26e-06,1e-05,6.8e-06,1.9e-07,,False,20100728,CAT EN-RHS RHS50x30x5.0 20100728
RHS80x40x3,5.29,0.08,0.04,0.003,,,0.000674,5.42e-07,1.8e-07,0.0284,0.0163,1.36e-05,9e-06,1.71e-05,1.04e-05,4.38e-07,,,20110705,CAT EN-RHS RHS80x40x3 20110705
RHS80x40x3.2,5.62,0.08,0.04,0.0032,,,0.000716,5.72e-07,1.89e-07,0.0283,0.0163,1.43e-05,9.5e-06,1.8e-05,1.1e-05,4.62e-07,,False,20100728,CAT EN-RHS RHS80x40x3.2 20100728
RHS60x40x4,5.64,0.06,0.04,0.004,,,0.000719,3.28e-07,1.7e-07,0.0214,0.0154,1.09e-05,8.52e-06,1.38e-05,1.03e-05,3.67e-07,,,20110705,CAT EN-RHS RHS60x40x4 20110705
RHS90x50x3,6.24,0.09,0.05,0.003,,,0.000794,8.44e-07,3.35e-07,0.0326,0.0205,1.88e-05,1.34e-05,2.32e-05,1.53e-05,7.65e-07,,,20110705,CAT EN-RHS RHS90x50x3 20110705
