nom,masse_kg_m,h_m,b_m,tw_m,tf_m,r_m,aire_m2,Iyy_m4,Izz_m4,iy_m,iz_m,Wel_y_m3,Wel_z_m3,Wpl_y_m3,Wpl_z_m3,J_m4,Iw_m6,obsolete,date,profil_gsa
SHS40x40x2.6,3.0,0.04,0.04,0.0026,,,0.000382,8.8e-08,8.8e-08,0.0152,0.0152,4.4e-06,4.4e-06,5.31e-06,5.31e-06,1.4e-07,,False,20100728,CAT EN-SHS SHS40x40x2.6 20100728
SHS40x40x3,3.41,0.04,0.04,0.003,,,0.000434,9.78e-08,9.78e-08,0.015,0.015,4.89e-06,4.89e-06,5.97e-06,5.97e-06,1.57e-07,,,20110705,CAT EN-SHS SHS40x40x3 20110705
SHS40x40x3.2,3.61,0.04,0.04,0.0032,,,0.00046,1.02e-07,1.02e-07,0.0149,0.0149,5.11e-06,5.11e-06,6.28e-06,6.28e-06,1.65e-07,,False,20100728,CAT EN-SHS SHS40x40x3.2 20100728
SHS50x50x2.6,3.81,0.05,0.05,0.0026,,,0.000486,1.8e-07,1.8e-07,0.0193,0.0193,7.21e-06,7.21e-06,8.58e-06,8.58e-06,2.84e-07,,False,20100728,CAT EN-SHS SHS50x50x2.6 20100728
SHS40x40x3.6,4.01,0.04,0.04,0.0036,,,0.00051,1.11e-07,1.11e-07,0.0147,0.0147,5.54e-06,5.54e-06,6.88e-06,6.88e-06,1.81e-07,,,20110705,CAT EN-SHS SHS40x40x3.6 20110705
SHS50x50x3,4.35,0.05,0.05,0.003,,,0.000554,2.02e-07,2.02e-07,0.0191,0.0191,8.08e-06,8.08e-06,9.7e-06,9.7e-06,3.21e-07,,,20110705,CAT EN-SHS SHS50x50x3 20110705
SHS40x40x4,4.39,0.04,0.04,0.004,,,0.000559,1.18e-07,1.18e-07,0.0145,0.0145,5.91e-06,5.91e-06,7.44e-06,7.44e-06,1.95e-07,,,20110705,CAT EN-SHS SHS40x40x4 20110705
SHS50x50x3.2,4.62,0.05,0.05,0.0032,,,0.000588,2.12e-07,2.12e-07,0.019,0.019,8.49e-06,8.49e-06,1.02e-05,1.02e-05,3.38e-07,,False,20100728,CAT EN-SHS SHS50x50x3.2 20100728
SHS60x60x2.6,4.63,0.06,0.06,0.0026,,,0.00059,3.22e-07,3.22e-07,0.0234,0.0234,1.07e-05,1.07e-05,1.26e-05,1.26e-05,5.02e-07,,False,20100728,CAT EN-SHS SHS60x60x2.6 20100728
SHS50x50x3.6,5.14,0.05,0.05,0.0036,,,0.000654,2.32e-07,2.32e-07,0.0188,0.0188,9.27e-06,9.27e-06,1.13e-05,1.13e-05,3.72e-07,,,20110705,CAT EN-SHS SHS50x50x3.6 20110705
SHS40x40x5,5.28,0.04,0.04,0.005,,,0.000673,1.34e-07,1.34e-07,0.0141,0.0141,6.68e-06,6.68e-06,8.66e-06,8.66e-06,2.25e-07,,,20110705,CAT EN-SHS SHS40x40x5 20110705
SHS60x60x3,5.29,0.06,0.06,0.003,,,0.000674,3.62e-07,3.62e-07,0.0232,0.0232,1.21e-05,1.21e-05,1.43e-05,1.43e-05,5.69e-07,,,20110705,CAT EN-SHS SHS60x60x3 20110705
SHS60x60x3.2,5.62,0.06,0.06,0.0032,,,0.000716,3.82e-07,3.82e-07,0.0231,0.0231,1.27e-05,1.27e-05,1.52e-05,1.52e-05,6.02e-07,,False,20100728,CAT EN-SHS SHS60x60x3.2 20100728
SHS50x50x4,5.64,0.05,0.05,0.004,,,0.000719,2.5e-07,2.5e-07,0.0186,0.0186,9.99e-06,9.99e-06,1.23e-05,1.23e-05,4.04e-07,,,20110705,CAT EN-SHS SHS50x50x4 20110705
SHS70x70x3,6.24,0.07,0.07,0.003,,,0.000794,5.9e-07,5.9e-07,0.0273,0.0273,1.69e-05,1.69e-05,1.99e-05,1.99e-05,9.22e-07,,,20110705,CAT EN-SHS SHS70x70x3 20110705
SHS60x60x3.6,6.27,0.06,0.06,0.0036,,,0.000798,4.19e-07,4.19e-07,0.0229,0.0229,1.4e-05,1.4e-05,1.68e-05,1.68e-05,6.65e-07,,,20110705,CAT EN-SHS SHS60x60x3.6 20110705
SHS70x70x3.2,6.63,0.07,0.07,0.0032,,,0.00084,6.23e-07,6.23e-07,0.0272,0.0272,1.78e-05,1.78e-05,2.1e-05,2.1e-05,9.76e-07,,False,20100728,CAT EN-SHS SHS70x70x3.2 20100728
SHS50x50x5,6.85,0.05,0.05,0.005,,,0.000873,2.89e-07,2.89e-07,0.0182,0.0182,1.16e-05,1.16e-05,1.45e-05,1.45e-05,4.76e-07,,,20110705,CAT EN-SHS SHS50x50x5 20110705
SHS60x60x4,6.9,0.06,0.06,0.004,,,0.000879,4.54e-07,4.54e-07,0.0227,0.0227,1.51e-05,1.51e-05,1.83e-05,1.83e-05,7.25e-07,,,20110705,CAT EN-SHS SHS60x60x4 20110705
SHS80x80x3,7.18,0.08,0.08,0.003,,,0.000914,8.98e-07,8.98e-07,0.0313,0.0313,2.25e-05,2.25e-05,2.63e-05,2.63e-05,1.4e-06,,,20110705,CAT EN-SHS SHS80x80x3 20110705
SHS70x70x3.6,7.4,0.07,0.07,0.0036,,,0.000942,6.86e-07,6.86e-07,0.027,0.027,1.96e-05,1.96e-05,2.33e-05,2.33e-05,1.08e-06,,,20110705,CAT EN-SHS SHS70x70x3.6 20110705
SHS80x80x3.2,7.63,0.08,0.08,0.0032,,,0.000972,9.5e-07,9.5e-07,0.0313,0.0313,2.37e-05,2.37e-05,2.79e-05,2.79e-05,1.48e-06,,False,20100728,CAT EN-SHS SHS80x80x3.2 20100728
SHS70x70x4,8.15,0.07,0.07,0.004,,,0.00104,7.47e-07,7.47e-07,0.0268,0.0268,2.13e-05,2.13e-05,2.55e-05,2.55e-05,1.18e-06,,,20110705,CAT EN-SHS SHS70x70x4 20110705
SHS50x50x6.3,8.31,0.05,0.05,0.0063,,,0.00106,3.28e-07,3.28e-07,0.0176,0.0176,1.31e-05,1.31e-05,1.7e-05,1.7e-05,5.52e-07,,False,20100728,CAT EN-SHS SHS50x50x6.3 20100728
