nom,masse_kg_m,h_m,b_m,tw_m,tf_m,aire_m2,Iyy_m4,Wel_y_m3,Wpl_y_m3,iy_m,Izz_m4,Wel_z_m3,Wpl_z_m3,iz_m,J_m4,r_m,profil_gsa
HD260x54.1,54.1,0.244,0.26,0.006500000000000001,0.0095,0.0069,7.981e-05,0.0006541,0.0007145000000000001,0.1076,2.788e-05,0.0002145,0.0003277,0.0636,3.01e-07,0.024,CAT HD-AM HD260x54.1 20170912
HD260x68.2,68.2,0.25,0.26,0.0075,0.0125,0.00868,0.00010449999999999999,0.0008364000000000001,0.0009198,0.1097,3.668e-05,0.0002821,0.00043020000000000005,0.065,5.42e-07,0.024,CAT HD-AM HD260x68.2 20170912
HD260x93,93,0.26,0.26,0.01,0.0175,0.01184,0.0001492,0.0011480000000000001,0.001283,0.11220000000000001,5.135e-05,0.000395,0.0006022,0.0658,1.27e-06,0.024,CAT HD-AM HD260x93 20170912
HD260x114,114,0.268,0.262,0.0125,0.021500000000000002,0.01457,0.0001891,0.0014110000000000001,0.0016,0.1139,6.456e-05,0.0004928000000000002,0.0007525,0.0666,2.25e-06,0.024,CAT HD-AM HD260x114 20170912
HD260x142,142,0.278,0.265,0.0155,0.0265,0.01803,0.0002433,0.00175,0.0020150000000000003,0.11620000000000001,8.236e-05,0.0006216,0.0009505000000000001,0.0676,4.07e-06,0.024,CAT HD-AM HD260x142 20170912
HD260x172,172,0.29,0.268,0.018000000000000002,0.0325,0.02196,0.00031309999999999997,0.0021590000000000003,0.002524,0.1194,0.00010449999999999999,0.0007797,0.0011920000000000001,0.069,7.2e-06,0.024,CAT HD-AM HD260x172 20170912
HD260x225,225,0.309,0.271,0.024,0.042,0.028659999999999998,0.0004375,0.0028320000000000003,0.003396,0.1236,0.0001397,0.001031,0.0015830000000000002,0.0698,1.53e-05,0.024,CAT HD-AM HD260x225 20170912
HD260x299,299,0.335,0.278,0.031,0.055,0.03805,0.0006422,0.003834,0.004727,0.12990000000000002,0.0001977,0.001423,0.00219,0.0721,3.39e-05,0.024,CAT HD-AM HD260x299 20170912
HD320x74.2,74.2,0.301,0.3,0.008,0.011,0.00946,0.0001645,0.001093,0.001196,0.13190000000000002,4.959e-05,0.0003306,0.0005057,0.0724,5.36e-07,0.027,CAT HD-AM HD320x74.2 20170912
HD320x97.6,97.6,0.31,0.3,0.009000000000000001,0.0155,0.01244,0.0002293,0.001479,0.001628,0.1358,6.985e-05,0.00046570000000000004,0.0007097000000000001,0.0749,1.12e-06,0.027,CAT HD-AM HD320x97.6 20170912
HD320x127,127,0.32,0.3,0.0115,0.0205,0.01613,0.0003082,0.0019260000000000002,0.0021490000000000003,0.1382,9.239e-05,0.0006159000000000001,0.0009391000000000001,0.0757,2.3e-06,0.027,CAT HD-AM HD320x127 20170912
HD320x158,158,0.33,0.303,0.0145,0.025500000000000002,0.02012,0.0003964,0.002403,0.0027180000000000004,0.1404,0.00011839999999999999,0.0007817000000000001,0.0011940000000000002,0.0767,4.25e-06,0.027,CAT HD-AM HD320x158 20170912
HD320x198,198,0.343,0.306,0.018000000000000002,0.032,0.02523,0.0005190000000000001,0.003026,0.0034790000000000003,0.1434,0.0001531,0.0010010000000000002,0.0015300000000000001,0.0779,8.09e-06,0.027,CAT HD-AM HD320x198 20170912
HD320x245,245,0.359,0.309,0.021,0.04,0.0312,0.0006813,0.0037960000000000003,0.004435000000000001,0.14780000000000001,0.0001971,0.001276,0.001951,0.0795,1.51e-05,0.027,CAT HD-AM HD320x245 20170912
HD320x300,300,0.375,0.313,0.027,0.048,0.03821,0.000869,0.004635,0.005522,0.15080000000000002,0.000246,0.001572,0.0024140000000000003,0.0802,2.63e-05,0.027,CAT HD-AM HD320x300 20170912
HD360x134,134,0.356,0.369,0.0112,0.018000000000000002,0.01706,0.0004151,0.0023320000000000003,0.002562,0.156,0.0001508,0.0008173000000000001,0.001237,0.094,1.68e-06,0.015,CAT HD-AM HD360x134 20170912
HD360x147,147,0.36,0.37,0.0123,0.0198,0.018789999999999998,0.0004629,0.002572,0.0028380000000000002,0.157,0.0001672,0.0009039,0.001369,0.0943,2.23e-06,0.015,CAT HD-AM HD360x147 20170912
HD360x162,162,0.364,0.371,0.013300000000000001,0.0218,0.02063,0.0005153999999999998,0.0028320000000000003,0.0031390000000000003,0.1581,0.00018559999999999998,0.0010010000000000002,0.001516,0.0949,2.94e-06,0.015,CAT HD-AM HD360x162 20170912
HD360x179,179,0.368,0.373,0.015,0.023899999999999998,0.02283,0.0005744,0.003122,0.0034820000000000003,0.1586,0.00020679999999999999,0.0011090000000000002,0.001683,0.0952,3.91e-06,0.015,CAT HD-AM HD360x179 20170912
HD360x196,196,0.372,0.374,0.016399999999999998,0.0262,0.02503,0.0006363,0.0034210000000000004,0.003837,0.15940000000000001,0.0002286,0.001222,0.001856,0.0956,5.13e-06,0.015,CAT HD-AM HD360x196 20170912
HD400x187,187,0.368,0.391,0.015,0.024,0.02376,0.0006018,0.003271,0.0036420000000000003,0.1591,0.0002392,0.001224,0.001855,0.1003,4.1199999999999995e-06,0.015,CAT HD-AM HD400x187 20170912
HD400x216,216,0.375,0.394,0.0173,0.0277,0.027549999999999998,0.0007113999999999999,0.003794,0.004262,0.16069999999999998,0.0002825,0.0014340000000000002,0.002176,0.1013,6.323e-06,0.015,CAT HD-AM HD400x216 20170912
HD400x237,237,0.38,0.395,0.0189,0.0302,0.03009,0.0007878,0.004146,0.004686,0.16180000000000003,0.0003104,0.001572,0.0023870000000000002,0.1016,8.183e-06,0.015,CAT HD-AM HD400x237 20170912
HD400x262,262,0.387,0.398,0.0211,0.033299999999999996,0.03346,0.0008941,0.00462,0.00526,0.1635,0.0003502,0.00176,0.002676,0.1023,1.1e-05,0.015,CAT HD-AM HD400x262 20170912
HD400x287,287,0.393,0.399,0.022600000000000002,0.0366,0.036629999999999996,0.0009971,0.005074,0.0058130000000000005,0.165,0.0003878,0.0019440000000000002,0.002957,0.1029,1.45e-05,0.015,CAT HD-AM HD400x287 20170912
HD400x314,314,0.399,0.401,0.0249,0.0396,0.03992,0.001102,0.005525,0.006374,0.1662,0.000426,0.002125,0.003236,0.1033,1.85e-05,0.015,CAT HD-AM HD400x314 20170912
HD400x347,347,0.40700000000000003,0.404,0.0272,0.0437,0.044199999999999996,0.001249,0.0061400000000000005,0.007139,0.1681,0.0004809,0.00238,0.0036290000000000003,0.1043,2.48e-05,0.015,CAT HD-AM HD400x347 20170912
HD400x382,382,0.41600000000000004,0.406,0.0298,0.048,0.048709999999999996,0.001413,0.0067940000000000006,0.007965,0.1703,0.0005362,0.002641,0.004031,0.10490000000000001,3.28e-05,0.015,CAT HD-AM HD400x382 20170912
HD400x421,421,0.425,0.40900000000000003,0.032799999999999996,0.0526,0.05371,0.001596,0.00751,0.00888,0.1724,0.0006008,0.002938,0.004489,0.1058,4.34e-05,0.015,CAT HD-AM HD400x421 20170912
HD400x463,463,0.435,0.41200000000000003,0.0358,0.0574,0.058949999999999995,0.001802,0.008283,0.009878000000000001,0.1748,0.0006704,0.0032540000000000004,0.004978000000000001,0.1066,5.65e-05,0.015,CAT HD-AM HD400x463 20170912
HD400x509,509,0.446,0.41600000000000004,0.0391,0.0627,0.0649,0.002045,0.009172000000000001,0.01103,0.1775,0.000754,0.003625,0.0055520000000000005,0.10779999999999999,7.39e-05,0.015,CAT HD-AM HD400x509 20170912
HD400x551,551,0.455,0.418,0.042,0.0676,0.07014,0.002261,0.009939,0.01205,0.1795,0.0008248999999999999,0.003947,0.006051,0.1085,9.25e-05,0.015,CAT HD-AM HD400x551 20170912
HD400x592,592,0.465,0.421,0.045,0.0723,0.07549,0.002502,0.01076,0.01314,0.182,0.0009017,0.0042840000000000005,0.006574,0.1093,0.00011354199999999999,0.015,CAT HD-AM HD400x592 20170912
HD400x634,634,0.47400000000000003,0.424,0.0476,0.07710000000000002,0.0808,0.002742,0.01157,0.014220000000000002,0.1842,0.0009825,0.004634,0.007117,0.1103,0.000137586,0.015,CAT HD-AM HD400x634 20170912
HD400x677,677,0.483,0.428,0.0512,0.0815,0.08634,0.002995,0.012400000000000001,0.01535,0.1862,0.001069,0.004994,0.00768,0.1113,0.000164479,0.015,CAT HD-AM HD400x677 20170912
HD400x744,744,0.498,0.432,0.05559999999999999,0.0889,0.09480999999999999,0.003421,0.01374,0.01717,0.19,0.001199,0.0055520000000000005,0.008549000000000001,0.1125,0.000213687,0.015,CAT HD-AM HD400x744 20170912
HD400x818,818,0.514,0.437,0.0605,0.097,0.10432999999999999,0.003922,0.015260000000000001,0.019260000000000003,0.19390000000000002,0.0013549999999999999,0.006203,0.009561,0.114,0.00027849,0.015,CAT HD-AM HD400x818 20170912
HD400x900,900,0.531,0.442,0.0659,0.106,0.11492,0.004502,0.01696,0.02162,0.19790000000000002,0.001533,0.006938000000000001,0.01071,0.1155,0.000364215,0.015,CAT HD-AM HD400x900 20170912
HD400x990,990,0.55,0.448,0.0719,0.115,0.12624,0.005189,0.01887,0.024280000000000003,0.2027,0.0017339999999999999,0.007739,0.01196,0.1172,0.00046914199999999987,0.015,CAT HD-AM HD400x990 20170912
HD400x1086,1086,0.5690000000000001,0.454,0.078,0.125,0.13857999999999998,0.005957,0.02094,0.02721,0.2073,0.0019619999999999998,0.008645,0.013380000000000001,0.11900000000000001,0.000605012,0.015,CAT HD-AM HD400x1086 20170912
HD400x1202,1202,0.58,0.47100000000000003,0.095,0.13,0.15305,0.0066359999999999995,0.02288,0.03002,0.2082,0.002287,0.009712,0.01515,0.1222,0.000762195,0.015,CAT HD-AM HD400x1202 20170912
HD400x1299,1299,0.6,0.47600000000000003,0.1,0.14,0.16547,0.007546,0.025150000000000002,0.03325,0.2135,0.002544,0.01069,0.01667,0.124,0.000943612,0.015,CAT HD-AM HD400x1299 20170912
UC152x152x23,23,0.1524,0.1522,0.0058,0.0068,0.00292,1.2499999999999999e-05,0.000164,0.000182,0.06540000000000001,3.999e-06,5.2550000000000003e-05,8.016e-05,0.037,4.6899999999999996e-08,0.008,CAT UC-AM UC152x152x23 20170912
UC152x152x30,30,0.1576,0.1529,0.006500000000000001,0.0094,0.0038299999999999996,1.748e-05,0.00022180000000000002,0.0002477,0.0676,5.605e-06,7.331e-05,0.0001116,0.0383,1.06e-07,0.008,CAT UC-AM UC152x152x30 20170912
UC152x152x37,37,0.16180000000000003,0.1544,0.008,0.0115,0.00471,2.21e-05,0.0002732,0.0003088,0.0685,7.0619999999999995e-06,9.148000000000001e-05,0.0001396,0.038700000000000005,1.93e-07,0.008,CAT UC-AM UC152x152x37 20170912
UC152x152x44,44,0.166,0.1559,0.0095,0.0136,0.0056099999999999995,2.706e-05,0.000326,0.0003726,0.0694,8.601e-06,0.00011030000000000001,0.0001688,0.0391,3.25e-07,0.008,CAT UC-AM UC152x152x44 20170912
UC152x152x51,51,0.1702,0.1574,0.011,0.0157,0.00652,3.23e-05,0.0003795,0.00043850000000000003,0.0704,1.022e-05,0.0001299,0.00019910000000000001,0.0396,5e-07,0.008,CAT UC-AM UC152x152x51 20170912
UC203x203x46,46.1,0.2032,0.2036,0.007200000000000001,0.011,0.005869999999999999,4.5679999999999996e-05,0.00044960000000000003,0.0004974,0.0882,1.548e-05,0.0001521,0.0002309,0.0513,2.21e-07,0.01,CAT UC-AM UC203x203x46 20170912
UC203x203x52,52,0.2062,0.2043,0.0079,0.0125,0.00663,5.2589999999999996e-05,0.0005101,0.0005674,0.0891,1.778e-05,0.000174,0.0002642,0.0518,3.17e-07,0.01,CAT UC-AM UC203x203x52 20170912
UC203x203x60,60,0.2096,0.2058,0.0094,0.014199999999999999,0.007639999999999999,6.125e-05,0.0005844,0.0006561000000000001,0.0896,2.065e-05,0.00020060000000000002,0.0003053,0.052000000000000005,4.7099999999999997e-07,0.01,CAT UC-AM UC203x203x60 20170912
UC203x203x71,71,0.21580000000000002,0.2064,0.01,0.0173,0.00904,7.617999999999999e-05,0.000706,0.0007988,0.0918,2.537e-05,0.0002459,0.00037370000000000003,0.053,8.009999999999999e-07,0.01,CAT UC-AM UC203x203x71 20170912
UC203x203x86,86.1,0.22219999999999998,0.2091,0.0127,0.0205,0.01096,9.449e-05,0.0008505,0.0009767,0.0928,3.127e-05,0.0002991,0.00045620000000000003,0.05340000000000002,1.37e-06,0.01,CAT UC-AM UC203x203x86 20170912
