nom,masse_kg_m,h_m,b_m,tw_m,tf_m,aire_m2,Iyy_m4,Wel_y_m3,Wpl_y_m3,iy_m,Izz_m4,Wel_z_m3,Wpl_z_m3,iz_m,J_m4,r_m,profil_gsa
HE100AA,12.2,0.091,0.1,0.004200000000000001,0.0055,0.00156,2.365e-06,5.198e-05,5.8360000000000004e-05,0.0389,9.21e-07,1.841e-05,2.8440000000000002e-05,0.024300000000000002,2.33e-08,0.012,CAT HE-AM HE100AA 20170912
HE100A,16.7,0.096,0.1,0.005,0.008,0.00212,3.4919999999999998e-06,7.276e-05,8.301e-05,0.04059999999999999,1.338e-06,2.676e-05,4.114e-05,0.0251,5.2799999999999996e-08,0.012,CAT HE-AM HE100A 20170912
HE100B,20.4,0.1,0.1,0.006,0.01,0.0026,4.495e-06,8.991000000000001e-05,0.00010420000000000001,0.041600000000000005,1.673e-06,3.345e-05,5.1420000000000006e-05,0.0253,9.33e-08,0.012,CAT HE-AM HE100B 20170912
HE100C,30.9,0.11,0.10300000000000001,0.009000000000000001,0.015,0.0039299999999999995,7.5869999999999995e-06,0.00013790000000000002,0.00016580000000000002,0.0439,2.744e-06,5.3280000000000005e-05,8.208e-05,0.0264,2.91e-07,0.012,CAT HE-AM HE100C 20170912
HE100M,41.8,0.12,0.106,0.012,0.02,0.00532,1.1429999999999999e-05,0.00019040000000000002,0.0002358,0.0463,3.992e-06,7.531000000000001e-05,0.00011630000000000001,0.0274,6.72e-07,0.012,CAT HE-AM HE100M 20170912
HE120AA,14.6,0.109,0.12,0.004200000000000001,0.0055,0.0018599999999999999,4.134e-06,7.585e-05,8.412e-05,0.047200000000000006,1.5879999999999999e-06,2.6470000000000002e-05,4.062e-05,0.0293,2.59e-08,0.012,CAT HE-AM HE120AA 20170912
HE120A,19.9,0.114,0.12,0.005,0.008,0.0025299999999999997,6.062e-06,0.00010630000000000001,0.0001195,0.0489,2.309e-06,3.8480000000000004e-05,5.885e-05,0.0302,6.04e-08,0.012,CAT HE-AM HE120A 20170912
HE120B,26.7,0.12,0.12,0.006500000000000001,0.011,0.0034,8.644e-06,0.0001441,0.0001652,0.0504,3.175e-06,5.292e-05,8.097e-05,0.030600000000000002,1.39e-07,0.012,CAT HE-AM HE120B 20170912
HE120C,39.2,0.13,0.123,0.0095,0.016,0.00499,1.388e-05,0.00021360000000000001,0.0002529,0.052700000000000004,4.977e-06,8.092e-05,0.0001242,0.0316,4.0699999999999987e-07,0.012,CAT HE-AM HE120C 20170912
HE120M,52.1,0.14,0.126,0.0125,0.021,0.00664,2.018e-05,0.0002882,0.0003506,0.0551,7.0279999999999995e-06,0.0001116,0.00017160000000000002,0.0325,9.05e-07,0.012,CAT HE-AM HE120M 20170912
HE140AA,18.1,0.128,0.14,0.0043,0.006,0.0023,7.195e-06,0.00011240000000000001,0.0001238,0.0559,2.7479999999999998e-06,3.926e-05,5.9930000000000004e-05,0.0345,3.4299999999999996e-08,0.012,CAT HE-AM HE140AA 20170912
HE140A,24.7,0.133,0.14,0.0055,0.0085,0.00314,1.033e-05,0.0001554,0.00017350000000000002,0.0573,3.893e-06,5.5620000000000006e-05,8.485e-05,0.0352,8.1e-08,0.012,CAT HE-AM HE140A 20170912
HE140B,33.7,0.14,0.14,0.007,0.012,0.0043,1.509e-05,0.0002156,0.0002454,0.0593,5.497e-06,7.852e-05,0.00011980000000000001,0.0358,2.02e-07,0.012,CAT HE-AM HE140B 20170912
HE140C,48.2,0.15,0.14300000000000002,0.01,0.017,0.00615,2.33e-05,0.0003106,0.0003638,0.0616,8.303e-06,0.0001161,0.0001777,0.0368,5.54e-07,0.012,CAT HE-AM HE140C 20170912
HE140M,63.2,0.16,0.146,0.013000000000000001,0.022,0.00806,3.291e-05,0.0004114,0.0004938,0.0639,1.144e-05,0.00015680000000000002,0.00024050000000000002,0.037700000000000004,1.19e-06,0.012,CAT HE-AM HE140M 20170912
HE160AA,23.8,0.148,0.16,0.0045000000000000005,0.007,0.0030399999999999997,1.2829999999999999e-05,0.0001734,0.00019040000000000002,0.065,4.787e-06,5.984e-05,9.136e-05,0.039700000000000006,6.43e-08,0.015,CAT HE-AM HE160AA 20170912
HE160A,30.4,0.152,0.16,0.006,0.009000000000000001,0.0038799999999999998,1.673e-05,0.0002201,0.0002451,0.0657,6.156e-06,7.695e-05,0.00011760000000000001,0.039799999999999995,1.2099999999999998e-07,0.015,CAT HE-AM HE160A 20170912
HE160B,42.6,0.16,0.16,0.008,0.013000000000000001,0.00543,2.492e-05,0.00031150000000000004,0.00035400000000000004,0.0678,8.892e-06,0.0001112,0.00017,0.0405,3.13e-07,0.015,CAT HE-AM HE160B 20170912
HE160C,59.2,0.17,0.163,0.011,0.018000000000000002,0.00754,3.704e-05,0.0004358,0.0005076,0.0701,1.3019999999999999e-05,0.0001598,0.0002449,0.041600000000000005,7.869999999999999e-07,0.015,CAT HE-AM HE160C 20170912
HE160M,76.2,0.18,0.166,0.014,0.023,0.00971,5.0979999999999996e-05,0.0005665000000000001,0.0006746,0.0725,1.759e-05,0.0002119,0.0003255,0.0426,1.61e-06,0.015,CAT HE-AM HE160M 20170912
HE180AA,28.7,0.167,0.18,0.005,0.0075,0.00365,1.967e-05,0.0002356,0.00025820000000000004,0.0734,7.2999999999999996e-06,8.111e-05,0.0001236,0.044700000000000004,8.31e-08,0.015,CAT HE-AM HE180AA 20170912
