nom,masse_kg_m,h_m,b_m,tw_m,tf_m,r_m,aire_m2,Iyy_m4,Izz_m4,iy_m,iz_m,Wel_y_m3,Wel_z_m3,Wpl_y_m3,Wpl_z_m3,J_m4,Iw_m6,obsolete,date,profil_gsa
IPEAA80,4.9,0.078,0.046,0.0032,0.0042,0.005,0.00063,6.41e-07,6.85e-08,0.0319,0.0104,1.64e-05,2.98e-06,1.89e-05,4.7e-06,3.8e-09,9e-11,FALSE,20170912,CAT IPE-AM IPEAA80 20170912
IPEA80,5.0,0.078,0.046,0.0033,0.0042,0.005,0.00064,6.44e-07,6.85e-08,0.0318,0.0104,1.65e-05,2.98e-06,1.9e-05,4.7e-06,3.9e-09,9e-11,FALSE,20170912,CAT IPE-AM IPEA80 20170912
IPE80,6.0,0.08,0.046,0.0038,0.0052,0.005,0.00076,8.01e-07,8.49e-08,0.0324,0.0105,2e-05,3.69e-06,2.32e-05,5.8e-06,6.7000000000000004e-09,1.2e-10,FALSE,20170912,CAT IPE-AM IPE80 20170912
IPEAA100,6.7,0.0976,0.055,0.0036,0.0045,0.007,0.00086,1.36e-06,1.26e-07,0.0398,0.0121,2.79e-05,4.57e-06,3.19e-05,7.2e-06,6.7000000000000004e-09,2.7e-10,FALSE,20170912,CAT IPE-AM IPEAA100 20170912
IPEA100,6.9,0.098,0.055,0.0036,0.0047,0.007,0.00088,1.41e-06,1.31e-07,0.0401,0.0122,2.88e-05,4.77e-06,3.3e-05,7.5e-06,7.300000000000001e-09,2.8e-10,FALSE,20170912,CAT IPE-AM IPEA100 20170912
IPE100,8.1,0.1,0.055,0.0041,0.0057,0.007,0.00103,1.71e-06,1.59e-07,0.0407,0.0124,3.42e-05,5.79e-06,3.94e-05,9.2e-06,1.16e-08,3.5e-10,FALSE,20170912,CAT IPE-AM IPE100 20170912
IPEAA120,8.4,0.117,0.064,0.0038,0.0048,0.007,0.00107,2.44e-06,2.11e-07,0.0479,0.0141,4.17e-05,6.59e-06,4.76e-05,1.04e-05,8.9e-09,6.6e-10,FALSE,20170912,CAT IPE-AM IPEAA120 20170912
IPEA120,8.7,0.1176,0.064,0.0038,0.0051,0.007,0.0011,2.57e-06,2.24e-07,0.0483,0.0142,4.38e-05,7e-06,4.99e-05,1.1e-05,1e-08,7.1e-10,FALSE,20170912,CAT IPE-AM IPEA120 20170912
IPEAA140,10.1,0.1366,0.073,0.0038,0.0052,0.007,0.00128,4.07e-06,3.38e-07,0.0564,0.0163,5.97e-05,9.27e-06,6.76e-05,1.45e-05,1.15e-08,1.46e-09,FALSE,20170912,CAT IPE-AM IPEAA140 20170912
IPE120,10.4,0.12,0.064,0.0044,0.0063,0.007,0.00132,3.18e-06,2.77e-07,0.049,0.0145,5.3e-05,8.65e-06,6.07e-05,1.36e-05,1.69e-08,8.9e-10,FALSE,20170912,CAT IPE-AM IPE120 20170912
IPEA140,10.5,0.1374,0.073,0.0038,0.0056,0.007,0.00134,4.35e-06,3.64e-07,0.057,0.0165,6.33e-05,1e-05,7.16e-05,1.55e-05,1.3400000000000001e-08,1.58e-09,FALSE,20170912,CAT IPE-AM IPEA140 20170912
IPEAA160,12.3,0.1564,0.082,0.004,0.0056,0.009,0.00157,6.59e-06,5.17e-07,0.0648,0.0181,8.43e-05,1.26e-05,9.52e-05,1.97e-05,1.75e-08,2.93e-09,FALSE,20170912,CAT IPE-AM IPEAA160 20170912
IPEA160,12.7,0.157,0.082,0.004,0.0059,0.009,0.00162,6.89e-06,5.44e-07,0.0653,0.0183,8.78e-05,1.33e-05,9.91e-05,2.07e-05,1.93e-08,3.09e-09,FALSE,20170912,CAT IPE-AM IPEA160 20170912
IPE140,12.9,0.14,0.073,0.0047,0.0069,0.007,0.00164,5.41e-06,4.49e-07,0.0574,0.0165,7.73e-05,1.23e-05,8.83e-05,1.93e-05,2.4e-08,1.98e-09,FALSE,20170912,CAT IPE-AM IPE140 20170912
IPEAA180,14.9,0.1764,0.091,0.0043,0.0062,0.009,0.0019,1.02e-05,7.81e-07,0.0732,0.0203,0.000116,1.72e-05,0.000131,2.67e-05,2.43e-08,5.64e-09,FALSE,20170912,CAT IPE-AM IPEAA180 20170912
IPEA180,15.4,0.177,0.091,0.0043,0.0065,0.009,0.00196,1.063e-05,8.19e-07,0.0737,0.0205,0.00012,1.8e-05,0.000135,2.8e-05,2.67e-08,5.93e-09,FALSE,20170912,CAT IPE-AM IPEA180 20170912
IPE160,15.8,0.16,0.082,0.005,0.0074,0.009,0.00201,8.69e-06,6.83e-07,0.0658,0.0184,0.000109,1.67e-05,0.000124,2.61e-05,3.54e-08,3.96e-09,FALSE,20170912,CAT IPE-AM IPE160 20170912
IPEAA200,18.0,0.1964,0.1,0.0045,0.0067,0.012,0.00229,1.533e-05,1.12e-06,0.0819,0.0221,0.000156,2.24e-05,0.000176,3.5e-05,3.81e-08,1.01e-08,FALSE,20170912,CAT IPE-AM IPEAA200 20170912
IPEA200,18.4,0.197,0.1,0.0045,0.007,0.012,0.00235,1.591e-05,1.17e-06,0.0823,0.0223,0.000162,2.34e-05,0.000182,3.65e-05,4.14e-08,1.05e-08,FALSE,20170912,CAT IPE-AM IPEA200 20170912
IPE180,18.8,0.18,0.091,0.0053,0.008,0.009,0.00239,1.317e-05,1.01e-06,0.0742,0.0205,0.000146,2.22e-05,0.000166,3.46e-05,4.73e-08,7.43e-09,FALSE,20170912,CAT IPE-AM IPE180 20170912
IPEAA220,21.2,0.2164,0.11,0.0047,0.0074,0.012,0.0027,2.219e-05,1.65e-06,0.0907,0.0247,0.000205,2.99e-05,0.00023,4.65e-05,5.06e-08,1.79e-08,FALSE,20170912,CAT IPE-AM IPEAA220 20170912
IPEO180,21.3,0.182,0.092,0.006,0.009,0.009,0.00271,1.505e-05,1.17e-06,0.0745,0.0208,0.000165,2.55e-05,0.000189,3.99e-05,6.65e-08,8.74e-09,FALSE,20170912,CAT IPE-AM IPEO180 20170912
IPEA220,22.2,0.217,0.11,0.005,0.0077,0.012,0.00283,2.317e-05,1.71e-06,0.0905,0.0246,0.000214,3.12e-05,0.00024,4.85e-05,5.68e-08,1.87e-08,FALSE,20170912,CAT IPE-AM IPEA220 20170912
IPE200,22.4,0.2,0.1,0.0056,0.0085,0.012,0.00285,1.943e-05,1.42e-06,0.0826,0.0224,0.000194,2.85e-05,0.000221,4.46e-05,6.92e-08,1.3e-08,FALSE,20170912,CAT IPE-AM IPE200 20170912
IPEAA240,24.9,0.2364,0.12,0.0048,0.008,0.015,0.00317,3.154e-05,2.31e-06,0.0997,0.027,0.000267,3.86e-05,0.000298,6e-05,7.61e-08,3.01e-08,FALSE,20170912,CAT IPE-AM IPEAA240 20170912
IPEO200,25.1,0.202,0.102,0.0062,0.0095,0.012,0.0032,2.211e-05,1.69e-06,0.0832,0.023,0.000219,3.31e-05,0.000249,5.19e-05,9.36e-08,1.56e-08,FALSE,20170912,CAT IPE-AM IPEO200 20170912
IPE220,26.2,0.22,0.11,0.0059,0.0092,0.012,0.00334,2.772e-05,2.05e-06,0.0911,0.0248,0.000252,3.73e-05,0.000285,5.81e-05,9.03e-08,2.27e-08,FALSE,20170912,CAT IPE-AM IPE220 20170912
IPEA240,26.2,0.237,0.12,0.0052,0.0083,0.015,0.00333,3.29e-05,2.4e-06,0.0994,0.0268,0.000278,4e-05,0.000312,6.24e-05,8.5e-08,3.13e-08,FALSE,20170912,CAT IPE-AM IPEA240 20170912
IPEO220,29.4,0.222,0.112,0.0066,0.0102,0.012,0.00374,3.134e-05,2.4e-06,0.0916,0.0253,0.000282,4.28e-05,0.000321,6.69e-05,1.22e-07,2.68e-08,FALSE,20170912,CAT IPE-AM IPEO220 20170912
IPE240,30.7,0.24,0.12,0.0062,0.0098,0.015,0.00391,3.892e-05,2.84e-06,0.0997,0.0269,0.000324,4.73e-05,0.000367,7.39e-05,1.3e-07,3.74e-08,FALSE,20170912,CAT IPE-AM IPE240 20170912
IPEA270,30.7,0.267,0.135,0.0055,0.0087,0.015,0.00392,4.917e-05,3.58e-06,0.112,0.0302,0.000368,5.3e-05,0.000413,8.23e-05,1.0400000000000002e-07,5.95e-08,FALSE,20170912,CAT IPE-AM IPEA270 20170912
IPEO240,34.3,0.242,0.122,0.007,0.0108,0.015,0.00437,4.369e-05,3.29e-06,0.1,0.0274,0.000361,5.39e-05,0.00041,8.44e-05,1.71e-07,4.37e-08,FALSE,20170912,CAT IPE-AM IPEO240 20170912
IPE270,36.1,0.27,0.135,0.0066,0.0102,0.015,0.00459,5.79e-05,4.2e-06,0.112,0.0302,0.000429,6.22e-05,0.000484,9.7e-05,1.59e-07,7.06e-08,FALSE,20170912,CAT IPE-AM IPE270 20170912
IPEA300,36.5,0.297,0.15,0.0061,0.0092,0.015,0.00465,7.173e-05,5.19e-06,0.124,0.0334,0.000483,6.92e-05,0.000542,0.000107,1.34e-07,1.07e-07,FALSE,20170912,CAT IPE-AM IPEA300 20170912
IPE300,42.2,0.3,0.15,0.0071,0.0107,0.015,0.00538,8.356e-05,6.04e-06,0.125,0.0335,0.000557,8.05e-05,0.000628,0.000125,1.99e-07,1.26e-07,FALSE,20170912,CAT IPE-AM IPE300 20170912
IPEO270,42.3,0.274,0.136,0.0075,0.0122,0.015,0.00538,6.947e-05,5.14e-06,0.114,0.0309,0.000507,7.55e-05,0.000575,0.000118,2.5e-07,8.76e-08,FALSE,20170912,CAT IPE-AM IPEO270 20170912
IPEA330,43.0,0.327,0.16,0.0065,0.01,0.018,0.00547,0.0001023,6.85e-06,0.137,0.0354,0.000626,8.56e-05,0.000702,0.000133,1.9600000000000003e-07,1.72e-07,FALSE,20170912,CAT IPE-AM IPEA330 20170912
IPE330,49.1,0.33,0.16,0.0075,0.0115,0.018,0.00626,0.0001177,7.88e-06,0.137,0.0355,0.000713,9.85e-05,0.000804,0.000154,2.81e-07,1.99e-07,FALSE,20170912,CAT IPE-AM IPE330 20170912
IPEO300,49.3,0.304,0.152,0.008,0.0127,0.015,0.00628,9.994e-05,7.46e-06,0.126,0.0345,0.000658,9.81e-05,0.000744,0.000153,3.1e-07,1.58e-07,FALSE,20170912,CAT IPE-AM IPEO300 20170912
IPEA360,50.2,0.3576,0.17,0.0066,0.0115,0.018,0.0064,0.0001452,9.44e-06,0.151,0.0384,0.000812,0.000111,0.000907,0.000172,2.74e-07,2.82e-07,FALSE,20170912,CAT IPE-AM IPEA360 20170912
IPEO330,57.0,0.334,0.162,0.0085,0.0135,0.018,0.00726,0.0001391,9.6e-06,0.138,0.0364,0.000833,0.000119,0.000943,0.000185,4.22e-07,2.46e-07,FALSE,20170912,CAT IPE-AM IPEO330 20170912
IPE360,57.1,0.36,0.17,0.008,0.0127,0.018,0.00727,0.0001627,1.043e-05,0.15,0.0379,0.000904,0.000123,0.001019,0.000191,3.74e-07,3.14e-07,FALSE,20170912,CAT IPE-AM IPE360 20170912
