nom,masse_kg_m,h_m,b_m,tw_m,tf_m,aire_m2,Iyy_m4,Wel_y_m3,Wpl_y_m3,iy_m,Izz_m4,Wel_z_m3,Wpl_z_m3,iz_m,J_m4,r_m,profil_gsa
IPEAA80,4.9,0.078,0.046,0.0032,0.004200000000000001,,6.41e-07,1.6400000000000002e-05,1.8900000000000002e-05,0.0319,6.85e-08,2.9800000000000003e-06,4.7e-06,0.010400000000000001,3.8e-09,0.005,CAT IPE-AM IPEAA80 20170912
IPEA80,5,0.078,0.046,0.0033,0.004200000000000001,,6.44e-07,1.65e-05,1.9e-05,0.0318,6.85e-08,2.9800000000000003e-06,4.7e-06,0.010400000000000001,3.9e-09,0.005,CAT IPE-AM IPEA80 20170912
IPE80,6,0.08,0.046,0.0038,0.005200000000000001,,8.009999999999999e-07,2e-05,2.32e-05,0.0324,8.49e-08,3.6900000000000002e-06,5.8e-06,0.0105,6.7e-09,0.005,CAT IPE-AM IPE80 20170912
IPEAA100,6.7,0.0976,0.055,0.0036000000000000003,0.0045000000000000005,,1.36e-06,2.79e-05,3.19e-05,0.039799999999999995,1.26e-07,4.57e-06,7.2000000000000005e-06,0.0121,6.7e-09,0.007,CAT IPE-AM IPEAA100 20170912
IPEA100,6.9,0.098,0.055,0.0036000000000000003,0.0047,,1.41e-06,2.8800000000000002e-05,3.3e-05,0.04009999999999999,1.31e-07,4.77e-06,7.5e-06,0.012199999999999999,7.300000000000001e-09,0.007,CAT IPE-AM IPEA100 20170912
IPE100,8.1,0.1,0.055,0.004100000000000001,0.0057,,1.71e-06,3.4200000000000005e-05,3.94e-05,0.04070000000000001,1.59e-07,5.7900000000000005e-06,9.2e-06,0.012400000000000001,1.16e-08,0.007,CAT IPE-AM IPE100 20170912
IPEAA120,8.4,0.117,0.064,0.0038,0.0048,,2.44e-06,4.1700000000000004e-05,4.7600000000000005e-05,0.0479,2.11e-07,6.5900000000000004e-06,1.04e-05,0.0141,8.9e-09,0.007,CAT IPE-AM IPEAA120 20170912
IPEA120,8.7,0.1176,0.064,0.0038,0.005100000000000001,,2.57e-06,4.38e-05,4.99e-05,0.048299999999999996,2.24e-07,7.000000000000001e-06,1.1000000000000001e-05,0.014199999999999999,1e-08,0.007,CAT IPE-AM IPEA120 20170912
IPE120,10.4,0.12,0.064,0.0044,0.0063,,3.18e-06,5.3e-05,6.0700000000000005e-05,0.049,2.77e-07,8.65e-06,1.36e-05,0.0145,1.69e-08,0.007,CAT IPE-AM IPE120 20170912
IPEAA140,10.1,0.1366,0.073,0.0038,0.005200000000000001,,4.07e-06,5.97e-05,6.76e-05,0.0564,3.38e-07,9.270000000000001e-06,1.45e-05,0.016300000000000002,1.15e-08,0.007,CAT IPE-AM IPEAA140 20170912
IPEA140,10.5,0.13740000000000002,0.073,0.0038,0.0056,,4.35e-06,6.33e-05,7.16e-05,0.057,3.64e-07,1e-05,1.55e-05,0.0165,1.34e-08,0.007,CAT IPE-AM IPEA140 20170912
IPE140,12.9,0.14,0.073,0.0047,0.006899999999999999,,5.41e-06,7.730000000000001e-05,8.83e-05,0.0574,4.49e-07,1.23e-05,1.93e-05,0.0165,2.4e-08,0.007,CAT IPE-AM IPE140 20170912
IPEAA160,12.3,0.1564,0.082,0.004,0.0056,,6.59e-06,8.43e-05,9.520000000000001e-05,0.0648,5.17e-07,1.2600000000000001e-05,1.97e-05,0.0181,1.75e-08,0.009000000000000001,CAT IPE-AM IPEAA160 20170912
IPEA160,12.7,0.157,0.082,0.004,0.005899999999999999,,6.89e-06,8.78e-05,9.910000000000001e-05,0.0653,5.44e-07,1.3300000000000001e-05,2.0700000000000002e-05,0.0183,1.93e-08,0.009000000000000001,CAT IPE-AM IPEA160 20170912
IPE160,15.8,0.16,0.082,0.005,0.0074,,8.69e-06,0.000109,0.000124,0.0658,6.83e-07,1.67e-05,2.61e-05,0.0184,3.54e-08,0.009000000000000001,CAT IPE-AM IPE160 20170912
IPEAA180,14.9,0.1764,0.091,0.0043,0.006200000000000001,,1.02e-05,0.000116,0.000131,0.0732,7.81e-07,1.72e-05,2.6700000000000002e-05,0.020300000000000002,2.43e-08,0.009000000000000001,CAT IPE-AM IPEAA180 20170912
