nom,masse_kg_m,h_m,b_m,tw_m,tf_m,r_m,aire_m2,Iyy_m4,Izz_m4,iy_m,iz_m,Wel_y_m3,Wel_z_m3,Wpl_y_m3,Wpl_z_m3,J_m4,Iw_m6,obsolete,date,profil_gsa
IPN80,5.9,0.08,0.042,0.0039,0.0059,0.0039,0.00076,7.78e-07,6.29e-08,0.032,0.0091,1.95e-05,3e-06,2.28e-05,5e-06,8.7e-09,9e-11,FALSE,20170912,CAT IPN-AM IPN80 20170912
IPN100,8.3,0.1,0.05,0.0045,0.0068,0.0045,0.00106,1.71e-06,1.22e-07,0.0401,0.0107,3.42e-05,4.88e-06,3.98e-05,8.1e-06,1.6e-08,2.7e-10,FALSE,20170912,CAT IPN-AM IPN100 20170912
IPN120,11.1,0.12,0.058,0.0051,0.0077,0.0051,0.00142,3.28e-06,2.15e-07,0.0481,0.0123,5.47e-05,7.41e-06,6.36e-05,1.24e-05,2.7099999999999998e-08,6.9e-10,FALSE,20170912,CAT IPN-AM IPN120 20170912
IPN140,14.3,0.14,0.066,0.0057,0.0086,0.0057,0.00182,5.73e-06,3.52e-07,0.0561,0.014,8.19e-05,1.07e-05,9.54e-05,1.79e-05,4.32e-08,1.54e-09,FALSE,20170912,CAT IPN-AM IPN140 20170912
IPN160,17.9,0.16,0.074,0.0063,0.0095,0.0063,0.00228,9.35e-06,5.47e-07,0.064,0.0155,0.000117,1.48e-05,0.000136,2.49e-05,6.57e-08,3.14e-09,FALSE,20170912,CAT IPN-AM IPN160 20170912
IPN180,21.9,0.18,0.082,0.0069,0.0104,0.0069,0.00279,1.45e-05,8.13e-07,0.072,0.0171,0.000161,1.98e-05,0.000187,3.32e-05,9.58e-08,5.92e-09,FALSE,20170912,CAT IPN-AM IPN180 20170912
IPN200,26.2,0.2,0.09,0.0075,0.0113,0.0075,0.00334,2.14e-05,1.17e-06,0.08,0.0187,0.000214,2.6e-05,0.00025,4.35e-05,1.35e-07,1.05e-08,FALSE,20170912,CAT IPN-AM IPN200 20170912
IPN220,31.1,0.22,0.098,0.0081,0.0122,0.0081,0.00395,3.06e-05,1.62e-06,0.088,0.0202,0.000278,3.31e-05,0.000324,5.57e-05,1.86e-07,1.78e-08,FALSE,20170912,CAT IPN-AM IPN220 20170912
IPN240,36.2,0.24,0.106,0.0087,0.0131,0.0087,0.00461,4.25e-05,2.21e-06,0.0959,0.022,0.000354,4.17e-05,0.000412,7e-05,2.5e-07,2.87e-08,FALSE,20170912,CAT IPN-AM IPN240 20170912
IPN260,41.9,0.26,0.113,0.0094,0.0141,0.0094,0.00533,5.74e-05,2.88e-06,0.104,0.0232,0.000442,5.1e-05,0.000514,8.59e-05,3.35e-07,4.41e-08,FALSE,20170912,CAT IPN-AM IPN260 20170912
IPN280,47.9,0.28,0.119,0.0101,0.0152,0.0101,0.0061,7.59e-05,3.64e-06,0.111,0.0245,0.000542,6.12e-05,0.000632,0.000103,4.42e-07,6.46e-08,FALSE,20170912,CAT IPN-AM IPN280 20170912
IPN300,54.2,0.3,0.125,0.0108,0.0162,0.0108,0.0069,9.8e-05,4.51e-06,0.119,0.0256,0.000653,7.22e-05,0.000762,0.000121,5.68e-07,9.18e-08,FALSE,20170912,CAT IPN-AM IPN300 20170912
IPN320,61.0,0.32,0.131,0.0115,0.0173,0.0115,0.00777,0.0001251,5.55e-06,0.127,0.0267,0.000782,8.47e-05,0.000914,0.000143,7.25e-07,1.29e-07,FALSE,20170912,CAT IPN-AM IPN320 20170912
IPN340,68.0,0.34,0.137,0.0122,0.0183,0.0122,0.00867,0.000157,6.74e-06,0.135,0.028,0.000923,9.84e-05,0.00108,0.000166,9.04e-07,1.76e-07,FALSE,20170912,CAT IPN-AM IPN340 20170912
IPN360,76.1,0.36,0.143,0.013,0.0195,0.013,0.0097,0.0001961,8.18e-06,0.142,0.029,0.00109,0.000114,0.001276,0.000194,1.15e-06,2.4e-07,FALSE,20170912,CAT IPN-AM IPN360 20170912
IPN380,84.0,0.38,0.149,0.0137,0.0205,0.0137,0.0107,0.0002401,9.75e-06,0.15,0.0302,0.00126,0.000131,0.001482,0.000221,1.41e-06,3.19e-07,FALSE,20170912,CAT IPN-AM IPN380 20170912
IPN400,92.4,0.4,0.155,0.0144,0.0216,0.0144,0.01177,0.0002921,1.16e-05,0.157,0.0313,0.00146,0.000149,0.001714,0.000253,1.7e-06,4.2e-07,FALSE,20170912,CAT IPN-AM IPN400 20170912
IPN450,115.0,0.45,0.17,0.0162,0.0243,0.0162,0.01469,0.0004585,1.73e-05,0.177,0.0343,0.00204,0.000203,0.0024,0.000345,2.67e-06,7.91e-07,FALSE,20170912,CAT IPN-AM IPN450 20170912
IPN500,141.0,0.5,0.185,0.018,0.027,0.018,0.01794,0.0006874,2.48e-05,0.196,0.0372,0.00275,0.000268,0.00324,0.000456,4.02e-06,1.4e-06,FALSE,20170912,CAT IPN-AM IPN500 20170912
IPN550,166.0,0.55,0.2,0.019,0.03,0.019,0.0212,0.0009918,3.49e-05,0.216,0.0402,0.00361,0.000349,0.00424,0.000592,5.44e-06,2.39e-06,FALSE,20170912,CAT IPN-AM IPN550 20170912
IPN600,199.0,0.6,0.215,0.0216,0.0324,0.0216,0.02537,0.00139,4.67e-05,0.234,0.043,0.00463,0.000434,0.005452,0.000752,7.87e-06,3.814e-06,FALSE,20170912,CAT IPN-AM IPN600 20170912
