nom,masse_kg_m,h_m,b_m,tw_m,tf_m,aire_m2,Iyy_m4,Wel_y_m3,Wpl_y_m3,iy_m,Izz_m4,Wel_z_m3,Wpl_z_m3,iz_m,J_m4,r_m,profil_gsa
IPN80,5.9,0.08,0.042,0.0039,0.005899999999999999,0.0007599999999999999,7.78e-07,1.95e-05,2.2800000000000002e-05,0.032,6.29e-08,3e-06,5e-06,0.0091,8.7e-09,0.0039,CAT IPN-AM IPN80 20170912
IPN100,8.3,0.1,0.05,0.0045000000000000005,0.0068,0.00106,1.71e-06,3.4200000000000005e-05,3.9800000000000005e-05,0.04009999999999999,1.22e-07,4.880000000000001e-06,8.1e-06,0.0107,1.6e-08,0.0045000000000000005,CAT IPN-AM IPN100 20170912
IPN120,11.1,0.12,0.058,0.005100000000000001,0.0077,0.00142,3.28e-06,5.47e-05,6.36e-05,0.04809999999999999,2.15e-07,7.41e-06,1.2400000000000002e-05,0.0123,2.7099999999999998e-08,0.005100000000000001,CAT IPN-AM IPN120 20170912
IPN140,14.3,0.14,0.066,0.0057,0.0086,0.00182,5.73e-06,8.19e-05,9.54e-05,0.05609999999999999,3.52e-07,1.0700000000000001e-05,1.79e-05,0.014,4.3199999999999996e-08,0.0057,CAT IPN-AM IPN140 20170912
IPN160,17.9,0.16,0.074,0.0063,0.0095,0.00228,9.35e-06,0.00011700000000000001,0.000136,0.064,5.47e-07,1.48e-05,2.4900000000000002e-05,0.0155,6.57e-08,0.0063,CAT IPN-AM IPN160 20170912
IPN180,21.9,0.18,0.082,0.006899999999999999,0.010400000000000001,0.00279,1.45e-05,0.000161,0.00018700000000000002,0.07200000000000001,8.13e-07,1.98e-05,3.32e-05,0.0171,9.58e-08,0.006899999999999999,CAT IPN-AM IPN180 20170912
IPN200,26.2,0.2,0.09,0.0075,0.011300000000000001,0.0033399999999999997,2.14e-05,0.00021400000000000002,0.00025,0.08,1.17e-06,2.6000000000000002e-05,4.35e-05,0.0187,1.35e-07,0.0075,CAT IPN-AM IPN200 20170912
IPN220,31.1,0.22,0.098,0.0081,0.012199999999999999,0.0039499999999999995,3.06e-05,0.00027800000000000004,0.000324,0.088,1.62e-06,3.3100000000000005e-05,5.5700000000000005e-05,0.0202,1.86e-07,0.0081,CAT IPN-AM IPN220 20170912
IPN240,36.2,0.24,0.106,0.0087,0.0131,0.0046099999999999995,4.2499999999999996e-05,0.00035400000000000004,0.00041200000000000004,0.09590000000000001,2.21e-06,4.1700000000000004e-05,7.000000000000001e-05,0.022,2.5e-07,0.0087,CAT IPN-AM IPN240 20170912
IPN260,41.9,0.26,0.113,0.0094,0.0141,0.00533,5.74e-05,0.000442,0.000514,0.10400000000000001,2.88e-06,5.1000000000000006e-05,8.59e-05,0.0232,3.3499999999999997e-07,0.0094,CAT IPN-AM IPN260 20170912
IPN280,47.9,0.28,0.11900000000000001,0.0101,0.0152,0.0060999999999999995,7.59e-05,0.0005420000000000001,0.0006320000000000001,0.111,3.64e-06,6.120000000000001e-05,0.00010300000000000001,0.0245,4.42e-07,0.0101,CAT IPN-AM IPN280 20170912
IPN300,54.2,0.3,0.125,0.0108,0.0162,0.0069,9.8e-05,0.000653,0.0007620000000000001,0.11900000000000001,4.51e-06,7.22e-05,0.00012100000000000001,0.0256,5.68e-07,0.0108,CAT IPN-AM IPN300 20170912
IPN320,61,0.32,0.131,0.0115,0.0173,0.00777,0.0001251,0.000782,0.0009140000000000001,0.127,5.55e-06,8.47e-05,0.000143,0.0267,7.249999999999999e-07,0.0115,CAT IPN-AM IPN320 20170912
IPN340,68,0.34,0.137,0.012199999999999999,0.0183,0.008669999999999999,0.000157,0.0009230000000000001,0.00108,0.135,6.74e-06,9.84e-05,0.00016600000000000002,0.028,9.039999999999999e-07,0.012199999999999999,CAT IPN-AM IPN340 20170912
IPN360,76.1,0.36,0.14300000000000002,0.013000000000000001,0.0195,0.0097,0.0001961,0.00109,0.001276,0.14200000000000002,8.18e-06,0.000114,0.000194,0.029,1.15e-06,0.013000000000000001,CAT IPN-AM IPN360 20170912
IPN380,84,0.38,0.149,0.0137,0.0205,0.0107,0.0002401,0.00126,0.001482,0.15,9.75e-06,0.000131,0.000221,0.0302,1.41e-06,0.0137,CAT IPN-AM IPN380 20170912
IPN400,92.4,0.4,0.155,0.014400000000000001,0.0216,0.01177,0.0002921,0.0014600000000000001,0.001714,0.157,1.1599999999999999e-05,0.00014900000000000002,0.000253,0.0313,1.7e-06,0.014400000000000001,CAT IPN-AM IPN400 20170912
IPN450,115,0.45,0.17,0.0162,0.024300000000000002,0.01469,0.0004585,0.00204,0.0024000000000000002,0.177,1.73e-05,0.000203,0.00034500000000000004,0.0343,2.67e-06,0.0162,CAT IPN-AM IPN450 20170912
IPN500,141,0.5,0.185,0.018000000000000002,0.027,0.017939999999999998,0.0006874,0.0027500000000000003,0.0032400000000000003,0.196,2.48e-05,0.000268,0.000456,0.037200000000000004,4.02e-06,0.018000000000000002,CAT IPN-AM IPN500 20170912
IPN550,166,0.55,0.2,0.019,0.03,0.0212,0.0009918,0.0036100000000000004,0.00424,0.216,3.49e-05,0.000349,0.0005920000000000001,0.04020000000000001,5.44e-06,0.019,CAT IPN-AM IPN550 20170912
IPN600,199,0.6,0.215,0.0216,0.0324,0.02537,0.00139,0.0046300000000000004,0.005452,0.234,4.67e-05,0.00043400000000000003,0.0007520000000000001,0.043000000000000003,7.87e-06,0.0216,CAT IPN-AM IPN600 20170912
