nom,masse_kg_m,h_m,b_m,tw_m,tf_m,aire_m2,Iyy_m4,Wel_y_m3,Wpl_y_m3,iy_m,Izz_m4,Wel_z_m3,Wpl_z_m3,iz_m,J_m4,r_m,profil_gsa
SHS40x40x2.6,3,0.04,0.04,0.0026000000000000003,,0.00038199999999999996,8.8e-08,4.4e-06,5.31e-06,0.0152,8.8e-08,4.4e-06,5.31e-06,0.0152,1.4e-07,,CAT EN-SHS SHS40x40x2.6 20100728
SHS40x40x3,3.41,0.04,0.04,0.003,,0.000434,9.78e-08,4.890000000000001e-06,5.9700000000000004e-06,0.015,9.78e-08,4.890000000000001e-06,5.9700000000000004e-06,0.015,1.57e-07,,CAT EN-SHS SHS40x40x3 20110705
SHS40x40x3.2,3.61,0.04,0.04,0.0032,,0.00045999999999999996,1.02e-07,5.11e-06,6.28e-06,0.0149,1.02e-07,5.11e-06,6.28e-06,0.0149,1.65e-07,,CAT EN-SHS SHS40x40x3.2 20100728
SHS40x40x3.6,4.01,0.04,0.04,0.0036000000000000003,,0.00051,1.11e-07,5.54e-06,6.88e-06,0.0147,1.11e-07,5.54e-06,6.88e-06,0.0147,1.81e-07,,CAT EN-SHS SHS40x40x3.6 20110705
SHS40x40x4,4.39,0.04,0.04,0.004,,0.0005589999999999999,1.18e-07,5.91e-06,7.440000000000001e-06,0.0145,1.18e-07,5.91e-06,7.440000000000001e-06,0.0145,1.9499999999999999e-07,,CAT EN-SHS SHS40x40x4 20110705
SHS40x40x5,5.28,0.04,0.04,0.005,,0.000673,1.34e-07,6.68e-06,8.66e-06,0.0141,1.34e-07,6.68e-06,8.66e-06,0.0141,2.25e-07,,CAT EN-SHS SHS40x40x5 20110705
RHS50x30x2.6,3,0.05,0.03,0.0026000000000000003,,0.00038199999999999996,1.22e-07,4.87e-06,6.120000000000001e-06,0.0179,5.38e-08,3.58e-06,4.25e-06,0.0119,1.2099999999999998e-07,,CAT EN-RHS RHS50x30x2.6 20100728
RHS50x30x3,3.41,0.05,0.03,0.003,,0.000434,1.36e-07,5.4300000000000005e-06,6.88e-06,0.0177,5.9399999999999996e-08,3.96e-06,4.76e-06,0.0117,1.35e-07,,CAT EN-RHS RHS50x30x3 20110705
RHS50x30x3.2,3.61,0.05,0.03,0.0032,,0.00045999999999999996,1.42e-07,5.680000000000001e-06,7.25e-06,0.0176,6.2e-08,4.13e-06,5e-06,0.0116,1.42e-07,,CAT EN-RHS RHS50x30x3.2 20100728
SHS50x50x2.6,3.81,0.05,0.05,0.0026000000000000003,,0.000486,1.8e-07,7.2100000000000004e-06,8.580000000000001e-06,0.0193,1.8e-07,7.2100000000000004e-06,8.580000000000001e-06,0.0193,2.84e-07,,CAT EN-SHS SHS50x50x2.6 20100728
RHS50x30x3.6,4.01,0.05,0.03,0.0036000000000000003,,0.00051,1.54e-07,6.16e-06,7.94e-06,0.0174,6.67e-08,4.450000000000001e-06,5.46e-06,0.0114,1.54e-07,,CAT EN-RHS RHS50x30x3.6 20110705
SHS50x50x3,4.35,0.05,0.05,0.003,,0.000554,2.02e-07,8.08e-06,9.7e-06,0.019100000000000002,2.02e-07,8.08e-06,9.7e-06,0.019100000000000002,3.21e-07,,CAT EN-SHS SHS50x50x3 20110705
RHS50x30x4,4.39,0.05,0.03,0.004,,0.0005589999999999999,1.65e-07,6.6e-06,8.59e-06,0.0172,7.08e-08,4.7200000000000005e-06,5.8800000000000005e-06,0.011300000000000001,1.66e-07,,CAT EN-RHS RHS50x30x4 20110705
SHS50x50x3.2,4.62,0.05,0.05,0.0032,,0.000588,2.12e-07,8.49e-06,1.02e-05,0.019,2.12e-07,8.49e-06,1.02e-05,0.019,3.38e-07,,CAT EN-SHS SHS50x50x3.2 20100728
SHS50x50x3.6,5.14,0.05,0.05,0.0036000000000000003,,0.000654,2.3199999999999999e-07,9.270000000000001e-06,1.13e-05,0.0188,2.3199999999999999e-07,9.270000000000001e-06,1.13e-05,0.0188,3.72e-07,,CAT EN-SHS SHS50x50x3.6 20110705
RHS50x30x5,5.28,0.05,0.03,0.005,,0.000673,1.87e-07,7.49e-06,1e-05,0.0167,7.89e-08,5.2600000000000005e-06,6.8e-06,0.0108,1.9e-07,,CAT EN-RHS RHS50x30x5 20110705
RHS50x30x5.0,5.28,0.05,0.03,0.005,,0.000673,1.87e-07,7.49e-06,1e-05,0.0167,7.89e-08,5.2600000000000005e-06,6.8e-06,0.0108,1.9e-07,,CAT EN-RHS RHS50x30x5.0 20100728
SHS50x50x4,5.64,0.05,0.05,0.004,,0.000719,2.5e-07,9.990000000000001e-06,1.23e-05,0.018600000000000002,2.5e-07,9.990000000000001e-06,1.23e-05,0.018600000000000002,4.04e-07,,CAT EN-SHS SHS50x50x4 20110705
SHS50x50x5,6.85,0.05,0.05,0.005,,0.000873,2.89e-07,1.16e-05,1.45e-05,0.0182,2.89e-07,1.16e-05,1.45e-05,0.0182,4.76e-07,,CAT EN-SHS SHS50x50x5 20110705
SHS50x50x6.3,8.31,0.05,0.05,0.0063,,0.00106,3.2799999999999997e-07,1.3100000000000002e-05,1.7e-05,0.0176,3.2799999999999997e-07,1.3100000000000002e-05,1.7e-05,0.0176,5.52e-07,,CAT EN-SHS SHS50x50x6.3 20100728
SHS50x50x7.1,9.14,0.05,0.05,0.007100000000000001,,0.00116,3.45e-07,1.3800000000000002e-05,1.83e-05,0.0172,3.45e-07,1.3800000000000002e-05,1.83e-05,0.0172,5.89e-07,,CAT EN-SHS SHS50x50x7.1 20110705
