nom,masse_kg_m,h_m,b_m,tw_m,tf_m,r_m,aire_m2,Iyy_m4,Izz_m4,iy_m,iz_m,Wel_y_m3,Wel_z_m3,Wpl_y_m3,Wpl_z_m3,J_m4,Iw_m6,obsolete,date,profil_gsa
SHS40x40x2.6,3.0,0.04,0.04,0.0026,,,0.000382,8.8e-08,8.8e-08,0.0152,0.0152,4.4e-06,4.4e-06,5.31e-06,5.31e-06,1.4e-07,,False,20100728,CAT EN-SHS SHS40x40x2.6 20100728
SHS50x50x2.6,3.81,0.05,0.05,0.0026,,,0.000486,1.8e-07,1.8e-07,0.0193,0.0193,7.21e-06,7.21e-06,8.58e-06,8.58e-06,2.84e-07,,False,20100728,CAT EN-SHS SHS50x50x2.6 20100728
SHS40x40x4,4.39,0.04,0.04,0.004,,,0.000559,1.18e-07,1.18e-07,0.0145,0.0145,5.91e-06,5.91e-06,7.44e-06,7.44e-06,1.95e-07,,,20110705,CAT EN-SHS SHS40x40x4 20110705
SHS40x40x5,5.28,0.04,0.04,0.005,,,0.000673,1.34e-07,1.34e-07,0.0141,0.0141,6.68e-06,6.68e-06,8.66e-06,8.66e-06,2.25e-07,,,20110705,CAT EN-SHS SHS40x40x5 20110705
SHS50x50x4,5.64,0.05,0.05,0.004,,,0.000719,2.5e-07,2.5e-07,0.0186,0.0186,9.99e-06,9.99e-06,1.23e-05,1.23e-05,4.04e-07,,,20110705,CAT EN-SHS SHS50x50x4 20110705
SHS70x70x3.2,6.63,0.07,0.07,0.0032,,,0.00084,6.23e-07,6.23e-07,0.0272,0.0272,1.78e-05,1.78e-05,2.1e-05,2.1e-05,9.76e-07,,False,20100728,CAT EN-SHS SHS70x70x3.2 20100728
SHS50x50x5,6.85,0.05,0.05,0.005,,,0.000873,2.89e-07,2.89e-07,0.0182,0.0182,1.16e-05,1.16e-05,1.45e-05,1.45e-05,4.76e-07,,,20110705,CAT EN-SHS SHS50x50x5 20110705
SHS60x60x4,6.9,0.06,0.06,0.004,,,0.000879,4.54e-07,4.54e-07,0.0227,0.0227,1.51e-05,1.51e-05,1.83e-05,1.83e-05,7.25e-07,,,20110705,CAT EN-SHS SHS60x60x4 20110705
SHS80x80x3.2,7.63,0.08,0.08,0.0032,,,0.000972,9.5e-07,9.5e-07,0.0313,0.0313,2.37e-05,2.37e-05,2.79e-05,2.79e-05,1.48e-06,,False,20100728,CAT EN-SHS SHS80x80x3.2 20100728
SHS70x70x4,8.15,0.07,0.07,0.004,,,0.00104,7.47e-07,7.47e-07,0.0268,0.0268,2.13e-05,2.13e-05,2.55e-05,2.55e-05,1.18e-06,,,20110705,CAT EN-SHS SHS70x70x4 20110705
SHS60x60x5,8.42,0.06,0.06,0.005,,,0.00107,5.33e-07,5.33e-07,0.0223,0.0223,1.78e-05,1.78e-05,2.19e-05,2.19e-05,8.64e-07,,,20110705,CAT EN-SHS SHS60x60x5 20110705
