num,catalogue,nom,abreviation,obsolete
1,British,Universal Beams (BS4-1:1980),UB,1
2,British,Universal Columns (BS4-1:1980),UC,1
3,British,Joists (BS4-1:1980),UJ,1
4,British,Univ. Bearing Piles (BS4-1:1980),BP,1
5,British,Circ. Hollow Sects (BS4848- 2:1991),CHS,1
6,British,Sq. Hollow Sections (BS4848-2:1991),SHS,1
7,British,Rect. Hollow Sects (BS4848-2:1991),RHS,1
8,British,Channels (BS4-1:1980),CH,1
9,British,Equal Angles (BS4848-4:1972),EA,1
10,British,Unequal Angles (BS4848-4:1972),UA,1
11,British,Castellated Ubs (BS4-1:1980),CUB,1
12,British,BS Castellated UCs,CUC,1
13,British,BS Castellated Joists,CJ,1
14,British,UB Tee (BS4-1:1980),TUB,1
15,British,UC Tee (BS4-1:1980),TUC,1
26,Europrofile,EP IPE beams,IPE,0
27,Europrofile,EP HE beams,HE,0
28,Europrofile,EP HL beams,HL,0
29,Europrofile,EP HX beams,HX,0
30,Europrofile,EP HD columns - s/s,HD,1
31,Europrofile,EP: US HP bearing piles,E-H,0
32,Europrofile,EP: Japanese I shapes,E-J,0
33,Europrofile,EP: US I shapes: M,E-M,0
34,Europrofile,EP: US I shapes: W,E-W,0
35,AISC,AISC W shapes,W,1
36,AISC,AISC M shapes,M,1
37,AISC,AISC S shapes,S,1
38,AISC,AISC HP shapes,HP,1
39,AISC,AISC Channels,C,1
40,AISC,AISC Misc. Channels,MC,1
41,AISC,AISC W Tee,WT,1
42,AISC,AISC M Tee,MT,1
43,AISC,AISC S Tee,ST,1
44,AISC,AISC Angles,L,1
45,AISC,AISC Double Angles,LL,1
46,AISC,AISC Structural Tubing,TS,1
47,AISC,AISC Pipe (Standard),P,1
48,AISC,AISC Pipe (Extra str.),PX,1
49,AISC,AISC Pipe (Dbl.Extra),PXX,1
50,Europrofile,EP HD columns,HD,0
51,Australian,Universal Beams,A-UB,0
52,Australian,Universal Columns,A-UC,0
53,Australian,Welded Beams,A-WB,0
54,Australian,Welded Columns,A-WC,0
55,Australian,Universal Bearing Piles,A-UBP,0
56,Australian,Taper Flange Beams,A-TFB,0
57,Australian,Parallel Flange Channels,A-PFC,0
58,Australian,Equal Angles,A-EA,0
59,Australian,Unequal Angles,A-UA,0
66,Australian,Flats,A-FLATS,0
67,Australian,Rounds,A-ROUNDS,0
68,Australian,Squares,A-SQUARES,0
69,Australian,RSJs,A-RSJs,0
70,British,Universal Beams (BS4-1:2005),UB,1
71,British,Universal Columns (BS4-1:2005),UC,1
72,British,Joists (BS4-1:2005),UJ,1
73,British,Univ. Bearing Piles (BS4-1:2005),BP,1
74,British,Circ. Hollow Sects (EN10210-2:1997),CHS,1
75,British,Square Hollow Sects (EN10210-2:1997),SHS,1
76,British,Rect. Hollow Sects (EN10210-2:1997),RHS,1
77,British,Channels (BS4-1:1993),CH,1
78,British,Equal Angles (BS4848-4:1972),EA,1
79,British,Unequal Angles (BS4848-4:1972),UA,1
80,British,Castellated UBs (BS4-1:1993),CUB,1
81,British,Castellated UCs (BS4-1:1993),CUC,1
82,British,Castellated Joists (BS4-1:1993),CJ,1
83,British,UB Tee (BS4-1:2005),TUB,1
84,British,UC Tee (BS4-1:2005),TUC,1
85,British,Two Channels Laced (BS4-1:1993),2CHL,1
86,British,Two Channels Back to Back (BS4-1:1993),2CHB2B,1
87,British,Equal Angles Back2b (BS4848-4:1972),EAB2B,1
88,British,Unequal Angles Short Back2b (BS4848-4:1972),UASB2B,1
89,British,Unequal Angles Long Back2b (BS4848-4:1972),UALB2B,1
90,British,Parallel Flange Channel (BS4-1:2005),PFC,1
91,British,"Universal Beams (Blue Book, 6th Edition)",UB,1
92,British,Celsius 355 Ovals (EN10210),OVAL,1
93,Chinese,Wide Flange Beams (GB/T 11263-1998),HW,0
94,Chinese,Medium Flange Beams (GB/T 11263-1998),HM,0
95,Chinese,Narrow Flange Beams (GB/T 11263-1998),HN,0
96,British,Celsius Large Circular Hollow Sects (EN10210),LCHS,1
97,Indian,Rolled Steel Equal Angles,ISA,0
98,Indian,Rolled Steel Unequal Angles,ISA,0
99,Indian,Rolled Steel Beams: ISJB,ISJB,0
100,Indian,Rolled Steel Beams: ISLB,ISLB,0
101,Indian,Rolled Steel Beams: ISMB,ISMB,0
102,Indian,Rolled Steel Beams: ISWB,ISWB,0
103,Indian,Rolled Steel Beams: ISHB,ISHB,0
104,Indian,Rolled Steel Channels: ISJC,ISJC,0
105,Indian,Rolled Steel Channels: ISLC,ISLC,0
106,Indian,Rolled Steel Channels: ISMC,ISMC,0
107,Indian,Rolled Steel Tee Bars: ISNT,ISNT,0
108,Indian,Rolled Steel Tee Bars: ISHT,ISHT,0
109,Indian,Rolled Steel Tee Bars: ISST,ISST,0
110,Indian,Rolled Steel Tee Bars: ISLT,ISLT,0
111,Indian,Rolled Steel Tee Bars: ISJT,ISJT,0
112,Corus Advance (TATA),Advance UKB (DRAFT 2006),UKB,1
113,Corus Advance (TATA),Advance UKC (DRAFT 2006),UKC,1
114,Corus Advance (TATA),Advance UKBP (DRAFT 2006),UKBP,1
115,Corus Advance (TATA),Advance UKPFC (DRAFT 2006),UKPFC,1
116,Corus Advance (TATA),Advance UKA - Equal (DRAFT 2006),UKA,1
117,Corus Advance (TATA),Advance UKA - Unequal (DRAFT 2006),UKA,1
118,Corus Advance (TATA),Advance UKT split from UKB (DRAFT 2006),UKT,1
119,Corus Advance (TATA),Advance UKT split from UKC (DRAFT 2006),UKT,1
120,Australian,Circ Hollow (G250),A-CHS250,0
121,Australian,Circ Hollow (G350),A-CHS350,0
122,Australian,Rect Hollow (G350),A-RHS350,0
123,Australian,Rect Hollow (G450),A-RHS450,0
124,Australian,Square Hollow (G350),A-SHS350,0
125,Australian,Square Hollow (G450),A-SHS450,0
126,AISC,AISC W shapes (v13.1: 2005),W,0
127,AISC,AISC M shapes (v13.1: 2005),M,0
128,AISC,AISC S shapes (v13.1: 2005),S,0
129,AISC,AISC HP shapes (v13.1: 2005),HP,0
130,AISC,AISC Channels (v13.1: 2005),C,0
131,AISC,AISC Misc. Channels (v13.1: 2005),MC,0
132,AISC,AISC Angles (v13.1: 2005),L,0
133,AISC,AISC W Tee (v13.1: 2005),WT,0
134,AISC,AISC M Tee (v13.1: 2005),MT,0
135,AISC,AISC S Tee (v13.1: 2005),ST,0
136,AISC,AISC Double Angles (v13.1: 2005),2L,0
137,AISC,AISC Rectangular Hollow Sections-ASTM A500 (v13.1: 2005),HSS-R,0
138,AISC,AISC Circular Hollow Sections-ASTM A500 (v13.1: 2005),HSS-C,0
139,AISC,AISC Pipe (Standard)-ASTM A53 (v13.1: 2005),P,0
140,AISC,AISC Pipe (Extra str.)-ASTM A53 (v13.1: 2005),PX,0
141,AISC,AISC Pipe (Dbl.Extra)-ASTM A53 (v13.1: 2005),PXX,0
