nom,masse_kg_m,h_m,b_m,tw_m,tf_m,r_m,aire_m2,Iyy_m4,Izz_m4,iy_m,iz_m,Wel_y_m3,Wel_z_m3,Wpl_y_m3,Wpl_z_m3,J_m4,Iw_m6,obsolete,date,profil_gsa
UPE80,7.9,0.08,0.05,0.004,0.007,0.01,0.00101,1.07e-06,2.55e-07,0.0326,0.0159,2.68e-05,8e-06,3.12e-05,1.43e-05,1.4699999999999998e-08,2.2e-10,FALSE,20170912,CAT UPE-AM UPE80 20170912
UPE100,9.8,0.1,0.055,0.0045,0.0075,0.01,0.00125,2.07e-06,3.83e-07,0.0407,0.0175,4.14e-05,1.06e-05,4.8e-05,1.93e-05,2.01e-08,5.3e-10,FALSE,20170912,CAT UPE-AM UPE100 20170912
UPE120,12.1,0.12,0.06,0.005,0.008,0.012,0.00154,3.64e-06,5.55e-07,0.0486,0.019,6.06e-05,1.38e-05,7.03e-05,2.53e-05,2.9e-08,1.12e-09,FALSE,20170912,CAT UPE-AM UPE120 20170912
UPE140,14.5,0.14,0.065,0.005,0.009,0.012,0.00184,6e-06,7.88e-07,0.0571,0.0207,8.56e-05,1.82e-05,9.88e-05,3.32e-05,4.05e-08,2.2e-09,FALSE,20170912,CAT UPE-AM UPE140 20170912
UPE160,17.0,0.16,0.07,0.0055,0.0095,0.012,0.00217,9.11e-06,1.07e-06,0.0648,0.0222,0.000114,2.26e-05,0.000132,4.15e-05,5.200000000000001e-08,3.96e-09,FALSE,20170912,CAT UPE-AM UPE160 20170912
UPE180,19.7,0.18,0.075,0.0055,0.0105,0.012,0.00251,1.35e-05,1.44e-06,0.0734,0.0239,0.00015,2.86e-05,0.000173,5.23e-05,6.99e-08,6.81e-09,FALSE,20170912,CAT UPE-AM UPE180 20170912
UPE200,22.8,0.2,0.08,0.006,0.011,0.013,0.0029,1.91e-05,1.87e-06,0.0811,0.0254,0.000191,3.45e-05,0.00022,6.33e-05,8.89e-08,1.1e-08,FALSE,20170912,CAT UPE-AM UPE200 20170912
UPE220,26.6,0.22,0.085,0.0065,0.012,0.013,0.00339,2.68e-05,2.47e-06,0.089,0.027,0.000244,4.25e-05,0.000281,7.82e-05,1.21e-07,1.76e-08,FALSE,20170912,CAT UPE-AM UPE220 20170912
UPE240,30.2,0.24,0.09,0.007,0.0125,0.015,0.00385,3.6e-05,3.11e-06,0.0967,0.0284,0.0003,5.01e-05,0.000347,9.22e-05,1.51e-07,2.64e-08,FALSE,20170912,CAT UPE-AM UPE240 20170912
UPE270,35.2,0.27,0.095,0.0075,0.0135,0.015,0.00448,5.25e-05,4.01e-06,0.108,0.0299,0.000389,6.07e-05,0.000451,0.000112,1.99e-07,4.36e-08,FALSE,20170912,CAT UPE-AM UPE270 20170912
UPE300,44.4,0.3,0.1,0.0095,0.015,0.015,0.00566,7.82e-05,5.38e-06,0.118,0.0308,0.000522,7.56e-05,0.000613,0.000137,3.15e-07,7.27e-08,FALSE,20170912,CAT UPE-AM UPE300 20170912
UPE330,53.2,0.33,0.105,0.011,0.016,0.018,0.00678,0.0001101,6.81e-06,0.127,0.0317,0.000667,8.97e-05,0.000792,0.000156,4.52e-07,1.12e-07,FALSE,20170912,CAT UPE-AM UPE330 20170912
UPE360,61.2,0.36,0.11,0.012,0.017,0.018,0.00779,0.0001483,8.44e-06,0.138,0.0329,0.000824,0.000105,0.000982,0.000178,5.85e-07,1.66e-07,FALSE,20170912,CAT UPE-AM UPE360 20170912
UPE400,72.2,0.4,0.115,0.0135,0.018,0.018,0.00919,0.0002098,1.045e-05,0.151,0.0337,0.00105,0.000123,0.00126,0.000191,7.910000000000001e-07,2.59e-07,FALSE,20170912,CAT UPE-AM UPE400 20170912
