nom,masse_kg_m,h_m,b_m,tw_m,tf_m,r_m,aire_m2,Iyy_m4,Izz_m4,iy_m,iz_m,Wel_y_m3,Wel_z_m3,Wpl_y_m3,Wpl_z_m3,J_m4,Iw_m6,obsolete,date,profil_gsa
UPN50,5.6,0.05,0.038,0.005,0.007,0.007,0.00071,2.64e-07,9.12e-08,0.0192,0.0113,1.06e-05,3.75e-06,1.31e-05,6.78e-06,1.12e-08,3e-11,FALSE,20170912,CAT UPN-AM UPN50 20170912
UPN65,7.1,0.065,0.042,0.0055,0.0075,0.0075,0.0009,5.75e-07,1.41e-07,0.0252,0.0125,1.77e-05,5.07e-06,2.17e-05,9.38e-06,1.61e-08,8e-11,FALSE,20170912,CAT UPN-AM UPN65 20170912
UPN80,8.6,0.08,0.045,0.006,0.008,0.008,0.0011,1.06e-06,1.94e-07,0.031,0.0133,2.65e-05,6.36e-06,3.23e-05,1.19e-05,2.2e-08,1.8e-10,FALSE,20170912,CAT UPN-AM UPN80 20170912
UPN100,10.6,0.1,0.05,0.006,0.0085,0.0085,0.00135,2.06e-06,2.93e-07,0.0391,0.0147,4.12e-05,8.49e-06,4.9e-05,1.62e-05,2.81e-08,4.1e-10,FALSE,20170912,CAT UPN-AM UPN100 20170912
UPN120,13.4,0.12,0.055,0.007,0.009,0.009,0.0017,3.64e-06,4.32e-07,0.0462,0.0159,6.07e-05,1.11e-05,7.26e-05,2.12e-05,4.15e-08,9e-10,FALSE,20170912,CAT UPN-AM UPN120 20170912
UPN140,16.0,0.14,0.06,0.007,0.01,0.01,0.00204,6.05e-06,6.27e-07,0.0545,0.0175,8.64e-05,1.48e-05,0.000103,2.83e-05,5.68e-08,1.8e-09,FALSE,20170912,CAT UPN-AM UPN140 20170912
UPN160,18.8,0.16,0.065,0.0075,0.0105,0.0105,0.0024,9.25e-06,8.53e-07,0.0621,0.0189,0.000116,1.83e-05,0.000138,3.52e-05,7.39e-08,3.26e-09,FALSE,20170912,CAT UPN-AM UPN160 20170912
UPN180,22.0,0.18,0.07,0.008,0.011,0.011,0.0028,1.35e-05,1.14e-06,0.0695,0.0202,0.00015,2.24e-05,0.000179,4.29e-05,9.550000000000001e-08,5.57e-09,FALSE,20170912,CAT UPN-AM UPN180 20170912
UPN200,25.3,0.2,0.075,0.0085,0.0115,0.0115,0.00322,1.91e-05,1.48e-06,0.077,0.0214,0.000191,2.7e-05,0.000228,5.18e-05,1.1900000000000001e-07,9.07e-09,FALSE,20170912,CAT UPN-AM UPN200 20170912
UPN220,29.4,0.22,0.08,0.009,0.0125,0.0125,0.00374,2.69e-05,1.97e-06,0.0848,0.023,0.000245,3.36e-05,0.000292,6.41e-05,1.6e-07,1.46e-08,FALSE,20170912,CAT UPN-AM UPN220 20170912
UPN240,33.2,0.24,0.085,0.0095,0.013,0.013,0.00423,3.6e-05,2.48e-06,0.0922,0.0242,0.0003,3.96e-05,0.000358,7.57e-05,1.97e-07,2.21e-08,FALSE,20170912,CAT UPN-AM UPN240 20170912
UPN260,37.9,0.26,0.09,0.01,0.014,0.014,0.00483,4.82e-05,3.17e-06,0.0999,0.0256,0.000371,4.77e-05,0.000442,9.16e-05,2.55e-07,3.33e-08,FALSE,20170912,CAT UPN-AM UPN260 20170912
UPN280,41.8,0.28,0.095,0.01,0.015,0.015,0.00533,6.28e-05,3.99e-06,0.109,0.0274,0.000448,5.72e-05,0.000532,0.000109,3.1e-07,4.85e-08,FALSE,20170912,CAT UPN-AM UPN280 20170912
UPN300,46.2,0.3,0.1,0.01,0.016,0.016,0.00588,8.03e-05,4.95e-06,0.117,0.029,0.000535,6.78e-05,0.000632,0.00013,3.74e-07,6.91e-08,FALSE,20170912,CAT UPN-AM UPN300 20170912
UPN320,59.5,0.32,0.1,0.014,0.0175,0.0175,0.00758,0.0001087,5.97e-06,0.121,0.0281,0.000679,8.06e-05,0.000826,0.000152,6.67e-07,9.61e-08,FALSE,20170912,CAT UPN-AM UPN320 20170912
UPN350,60.6,0.35,0.1,0.014,0.016,0.016,0.00773,0.0001284,5.7e-06,0.129,0.0272,0.000734,7.5e-05,0.000918,0.000143,6.12e-07,1.14e-07,FALSE,20170912,CAT UPN-AM UPN350 20170912
UPN380,63.1,0.38,0.102,0.0135,0.016,0.016,0.00804,0.0001576,6.15e-06,0.14,0.0277,0.000829,7.87e-05,0.00101,0.000148,5.91e-07,1.46e-07,FALSE,20170912,CAT UPN-AM UPN380 20170912
UPN400,71.8,0.4,0.11,0.014,0.018,0.018,0.00915,0.0002035,8.46e-06,0.149,0.0304,0.00102,0.000102,0.00124,0.00019,8.16e-07,2.21e-07,FALSE,20170912,CAT UPN-AM UPN400 20170912
