nom,masse_kg_m,h_m,b_m,tw_m,tf_m,aire_m2,Iyy_m4,Wel_y_m3,Wpl_y_m3,iy_m,Izz_m4,Wel_z_m3,Wpl_z_m3,iz_m,J_m4,r_m,profil_gsa
W100x100x19.3,19.3,0.106,0.10300000000000001,0.007100000000000001,0.0088,0.0024709999999999997,4.759e-06,8.979e-05,0.0001033,0.0439,1.606e-06,3.1190000000000005e-05,4.7940000000000005e-05,0.025500000000000002,6.29e-08,0.006,CAT W-AM W100x100x19.3 20170912
W130x130x23.8,23.8,0.127,0.127,0.006100000000000001,0.0091,0.0030299999999999997,8.854999999999999e-06,0.0001395,0.0001572,0.0541,3.11e-06,4.898e-05,7.466000000000001e-05,0.032,7.99e-08,0.008,CAT W-AM W130x130x23.8 20170912
W130x130x28.1,28.1,0.131,0.128,0.006899999999999999,0.0109,0.0035989999999999998,1.099e-05,0.0001677,0.0001909,0.055299999999999995,3.814e-06,5.9600000000000005e-05,9.086000000000001e-05,0.03259999999999999,1.32e-07,0.008,CAT W-AM W130x130x28.1 20170912
W150x100x13.5,13.5,0.15,0.1,0.0043,0.0055,0.0017289999999999999,6.855e-06,9.14e-05,0.00010240000000000001,0.0629,9.179999999999999e-07,1.836e-05,2.826e-05,0.023,1.6799999999999998e-08,0.006,CAT W-AM W150x100x13.5 20170912
W150x100x18,18,0.153,0.10200000000000001,0.0058,0.007100000000000001,0.002284,9.159e-06,0.0001221,0.0001386,0.0633,1.259e-06,2.5370000000000003e-05,3.9290000000000005e-05,0.023600000000000003,3.69e-08,0.006,CAT W-AM W150x100x18 20170912
W150x150x22.5,22.5,0.152,0.152,0.0058,0.0066,0.002842,1.206e-05,0.0001586,0.0001761,0.0651,3.866e-06,5.0870000000000006e-05,7.756000000000001e-05,0.0368,4.15e-08,0.006,CAT W-AM W150x150x22.5 20170912
W150x100x24,24,0.16,0.10200000000000001,0.0066,0.0103,0.003052,1.342e-05,0.0001678,0.00019150000000000002,0.0663,1.826e-06,3.58e-05,5.5240000000000006e-05,0.0245,9.23e-08,0.006,CAT W-AM W150x100x24 20170912
W150x150x29.8,29.8,0.157,0.153,0.0066,0.0093,0.00379,1.714e-05,0.00021840000000000002,0.00024390000000000002,0.0673,5.555e-06,7.262e-05,0.0001105,0.0383,9.999999999999998e-08,0.006,CAT W-AM W150x150x29.8 20170912
W150x150x37.1,37.1,0.162,0.154,0.0081,0.0116,0.0047279999999999996,2.22e-05,0.0002741,0.0003099,0.0685,7.068e-06,9.179e-05,0.00014000000000000001,0.0386,1.92e-07,0.006,CAT W-AM W150x150x37.1 20170912
W200x100x15,15,0.2,0.1,0.0043,0.005200000000000001,0.0019099999999999998,1.28e-05,0.00012800000000000002,0.0001452,0.0818,8.69e-07,1.738e-05,2.71e-05,0.0213,1.8e-08,0.008,CAT W-AM W200x100x15 20170912
W200x100x19.3,19.3,0.203,0.10200000000000001,0.0058,0.006500000000000001,0.002483,1.662e-05,0.00016370000000000002,0.00018810000000000002,0.0817,1.1539999999999999e-06,2.2630000000000002e-05,3.5690000000000006e-05,0.021500000000000002,3.68e-08,0.008,CAT W-AM W200x100x19.3 20170912
W200x135x21.4,21.4,0.203,0.134,0.005,0.0064,0.002721,1.993e-05,0.0001963,0.000219,0.0856,2.57e-06,3.8350000000000004e-05,5.8880000000000005e-05,0.0307,3.63e-08,0.008,CAT W-AM W200x135x21.4 20170912
W200x100x22.5,22.5,0.20600000000000002,0.10200000000000001,0.006200000000000001,0.008,0.002865,2.004e-05,0.0001945,0.00022280000000000002,0.0836,1.42e-06,2.7850000000000003e-05,4.372e-05,0.0222,5.73e-08,0.008,CAT W-AM W200x100x22.5 20170912
W200x135x26.6,26.6,0.20700000000000002,0.133,0.0058,0.008400000000000001,0.003392,2.5869999999999998e-05,0.00025,0.0002798,0.0872,3.298e-06,4.9600000000000006e-05,7.617000000000001e-05,0.031100000000000003,7.2e-08,0.008,CAT W-AM W200x135x26.6 20170912
W200x135x31.3,31.3,0.21,0.134,0.0064,0.010199999999999999,0.0040019999999999995,3.139e-05,0.0002989,0.0003353,0.0887,4.096e-06,6.113e-05,9.376000000000001e-05,0.032,1.2e-07,0.008,CAT W-AM W200x135x31.3 20170912
W200x165x35.9,35.9,0.201,0.165,0.006200000000000001,0.010199999999999999,0.004572,3.438e-05,0.0003421,0.0003794,0.0867,7.643e-06,9.264000000000001e-05,0.00014110000000000001,0.0409,1.45e-07,0.01,CAT W-AM W200x165x35.9 20170912
W200x165x41.7,41.7,0.20500000000000002,0.166,0.007200000000000001,0.011800000000000001,0.00531,4.088e-05,0.00039880000000000004,0.00044560000000000004,0.0877,9.005e-06,0.00010850000000000001,0.0001655,0.0412,2.22e-07,0.01,CAT W-AM W200x165x41.7 20170912
W200x200x46.1,46.1,0.203,0.203,0.007200000000000001,0.011,0.005855,4.545e-05,0.00044780000000000004,0.0004956,0.0881,1.535e-05,0.00015120000000000002,0.00022950000000000002,0.0512,2.1999999999999998e-07,0.01,CAT W-AM W200x200x46.1 20170912
W200x200x52,52,0.20600000000000002,0.20400000000000001,0.0079,0.0126,0.0066549999999999995,5.268e-05,0.0005115,0.0005690000000000001,0.089,1.784e-05,0.00017490000000000002,0.0002655,0.0518,3.2299999999999997e-07,0.01,CAT W-AM W200x200x52 20170912
W200x200x59,59,0.21,0.20500000000000002,0.0091,0.014199999999999999,0.00756,6.113e-05,0.0005822000000000001,0.0006529000000000001,0.0899,2.04e-05,0.00019910000000000001,0.00030280000000000004,0.0519,4.63e-07,0.01,CAT W-AM W200x200x59 20170912
W200x200x71,71,0.216,0.20600000000000002,0.010199999999999999,0.0174,0.009103,7.658e-05,0.000709,0.0008028,0.0918,2.537e-05,0.0002463,0.00037450000000000005,0.0528,8.17e-07,0.01,CAT W-AM W200x200x71 20170912
W200x200x86,86,0.222,0.209,0.013000000000000001,0.0206,0.011049999999999999,9.467e-05,0.0008529000000000001,0.0009805,0.09260000000000002,3.138e-05,0.00030030000000000004,0.0004582,0.0533,1.39e-06,0.01,CAT W-AM W200x200x86 20170912
W200x200x100,100,0.229,0.21,0.0145,0.0237,0.012669999999999999,0.0001133,0.0009891,0.001149,0.0945,3.663e-05,0.0003489,0.0005329,0.0538,2.09e-06,0.01,CAT W-AM W200x200x100 20170912
W250x100x17.9,17.9,0.251,0.101,0.0048,0.0053,0.0022789999999999998,2.252e-05,0.0001795,0.0002078,0.09920000000000001,9.13e-07,1.809e-05,2.867e-05,0.02,2.28e-08,0.008,CAT W-AM W250x100x17.9 20170912
